"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:01:17","54.051","54.051","54.051","54.051","43.617","43.617","43.617","43.617"
"00:01:18","54.011","54.011","54.011","54.011","43.557","43.557","43.557","43.557"
"00:01:19","53.955","53.955","53.955","53.955","43.477","43.477","43.477","43.477"
"00:01:20","53.921","53.921","53.921","53.921","43.422","43.422","43.422","43.422"
"00:01:21","53.876","53.876","53.876","53.876","43.364","43.364","43.364","43.364"
"00:01:22","53.827","53.827","53.827","53.827","43.290","43.290","43.290","43.290"
"00:01:23","53.778","53.778","53.778","53.778","43.222","43.222","43.222","43.222"
"00:01:24","53.726","53.726","53.726","53.726","43.159","43.159","43.159","43.159"
"00:01:25","53.675","53.675","53.675","53.675","43.082","43.082","43.082","43.082"
"00:01:26","53.642","53.642","53.642","53.642","43.041","43.041","43.041","43.041"
"00:01:27","53.597","53.597","53.597","53.597","42.973","42.973","42.973","42.973"
"00:01:28","53.546","53.546","53.546","53.546","42.908","42.908","42.908","42.908"
"00:01:29","53.499","53.499","53.499","53.499","42.846","42.846","42.846","42.846"
"00:01:30","53.456","53.456","53.456","53.456","42.793","42.793","42.793","42.793"
"00:01:31","53.410","53.410","53.410","53.410","42.721","42.721","42.721","42.721"
"00:01:32","53.367","53.367","53.367","53.367","42.664","42.664","42.664","42.664"
"00:01:33","53.327","53.327","53.327","53.327","42.613","42.613","42.613","42.613"
"00:01:34","53.269","53.269","53.269","53.269","42.539","42.539","42.539","42.539"
"00:01:35","53.220","53.220","53.220","53.220","42.481","42.481","42.481","42.481"
"00:01:36","53.181","53.181","53.181","53.181","42.432","42.432","42.432","42.432"
"00:01:37","53.126","53.126","53.126","53.126","42.355","42.355","42.355","42.355"
"00:01:38","53.085","53.085","53.085","53.085","42.299","42.299","42.299","42.299"
"00:01:39","53.043","53.043","53.043","53.043","42.248","42.248","42.248","42.248"
"00:01:40","52.985","52.985","52.985","52.985","42.170","42.170","42.170","42.170"
"00:01:41","52.949","52.949","52.949","52.949","42.126","42.126","42.126","42.126"
"00:01:42","52.911","52.911","52.911","52.911","42.075","42.075","42.075","42.075"
"00:01:43","52.855","52.855","52.855","52.855","41.999","41.999","41.999","41.999"
