suffix,time
(1),00:00:00
(2),00:03:00
(3),00:05:00
(4),00:07:00
(5),00:12:00
(6),00:13:00
(7),00:15:00
(8),00:18:00
(9),00:23:00
(10),00:29:00
(11),00:33:00
(12),00:39:00
(13),00:43:00
