Photodiode Current (A),Temperature (C)
-1.6964e-07,-272.42436123348017
-1.6129e-07,-272.4184581497797
-1.6436e-07,-272.416167400881
-1.6704e-07,-272.4144933920705
-1.629e-07,-272.43035242290745
-1.714e-07,-272.4277533039647
-1.6897e-07,-272.4237004405286
-1.655e-07,-272.4487224669603
-1.6447e-07,-272.4654185022026
-1.6566e-07,-272.4185462555066
-1.8882e-07,-272.4122026431718
-1.8193e-07,-272.44374449339205
-1.7728e-07,-272.42224669603524
-1.8005e-07,-272.43568281938326
-1.7259e-07,-272.42140969162995
-1.697e-07,-272.44374449339205
-1.6897e-07,-272.42387665198237
-1.7215e-07,-272.4567400881057
-1.6711e-07,-272.4404845814978
-1.648e-07,-272.4371806167401
