Photodiode Current (A),Temperature (C)
-1.6328e-07,-272.43458149779735
-1.6606e-07,-272.4162555066079
-1.6778e-07,-272.41788546255503
-1.6384e-07,-272.4266519823788
-1.6556e-07,-272.4272246696035
-1.6275e-07,-272.41594713656383
-1.6093e-07,-272.44290748898675
-1.6338e-07,-272.4354185022026
-1.6627e-07,-272.4055506607929
-1.6303e-07,-272.463744493392
-1.9238e-07,-272.40616740088103
-1.9045e-07,-272.40629955947134
-1.7969e-07,-272.4125550660793
-1.7651e-07,-272.4113656387665
-1.7113e-07,-272.40656387665194
-1.7554e-07,-272.3991629955947
-1.7525e-07,-272.40832599118943
-1.7075e-07,-272.41643171806163
-1.7596e-07,-272.4128193832599
-1.722e-07,-272.41964757709246
