Pixel 1,
V (V),J (A/cm^2)
-4.9982,-7.8076e-05
-4.8998,-5.6679e-05
-4.8013,-4.1044e-05
-4.7023,-2.9648e-05
-4.6032,-2.1407e-05
-4.5037,-1.5446e-05
-4.4038,-1.1141e-05
-4.2971,-7.887e-06
-4.1991,-5.747e-06
-4.1006,-4.1874e-06
-4.0018,-3.0576e-06
-3.9023,-2.2338e-06
-3.803,-1.6389e-06
-3.7035,-1.2072e-06
-3.6038,-8.9309e-07
-3.5041,-6.6486e-07
-3.4039,-4.9862e-07
-3.304,-3.7722e-07
-3.2042,-2.8869e-07
-3.1044,-2.2484e-07
-3.0043,-1.7675e-07
-2.9042,-1.4153e-07
-2.8042,-1.1532e-07
-2.7041,-9.6034e-08
-2.6042,-8.1836e-08
-2.504,-7.0323e-08
-2.4041,-6.1654e-08
-2.3042,-5.482e-08
-2.2042,-4.8708e-08
-2.104,-4.4102e-08
-2.0038,-3.9872e-08
-1.9039,-3.7781e-08
-1.8039,-3.3866e-08
-1.7042,-3.1121e-08
-1.6042,-2.9006e-08
-1.5038,-2.7064e-08
-1.4038,-2.3926e-08
-1.3038,-2.1683e-08
-1.2039,-1.9655e-08
-1.1037,-1.7781e-08
-1.0038,-1.5806e-08
-0.90371,-1.4164e-08
-0.80375,-1.2358e-08
-0.70376,-1.0706e-08
-0.60333,-8.9193e-09
-0.50343,-7.1736e-09
-0.40352,-5.3373e-09
-0.30365,-3.5876e-09
-0.20366,-1.9201e-09
-0.10337,-1.4692e-10
-0.0033627,1.4904e-09
0.096571,3.2571e-09
0.19655,5.0359e-09
0.2968,6.719e-09
0.39662,8.3789e-09
0.49667,1.0266e-08
0.5966,1.1975e-08
0.69684,1.3738e-08
0.79694,1.5455e-08
0.89699,1.716e-08
0.99689,1.89e-08
1.0967,2.0838e-08
1.197,2.2571e-08
1.297,2.4505e-08
1.397,2.6207e-08
1.4969,2.8223e-08
1.5973,3.0168e-08
1.6972,3.206e-08
1.7969,3.39e-08
1.8969,3.6011e-08
1.9973,3.7782e-08
2.0973,3.9815e-08
2.1973,4.1777e-08
2.2975,4.3658e-08
2.3975,4.6734e-08
2.4975,4.7793e-08
2.5974,5.0683e-08
2.6973,5.2734e-08
2.7977,5.4172e-08
2.8978,5.6056e-08
2.9978,5.943e-08
3.0976,6.0268e-08
3.1978,6.3639e-08
3.2979,6.4452e-08
3.3979,6.776e-08
3.4978,6.8983e-08
3.5978,7.0965e-08
3.6983,7.3115e-08
3.798,7.5378e-08
3.898,7.8069e-08
3.998,7.9746e-08
4.0982,8.175e-08
4.1983,8.3998e-08
4.2984,8.6785e-08
4.3982,8.8727e-08
4.4983,9.0978e-08
4.5983,9.3469e-08
4.6982,9.5646e-08
4.7983,9.8903e-08
4.8985,1.0216e-07
4.9985,1.0267e-07
