Photodiode Current (A),Temperature (C)
7.4443e-07,-269.87656387665197
7.8178e-07,-269.66656387665194
7.496e-07,-269.8525991189427
7.7393e-07,-269.7016299559471
7.4878e-07,-269.84854625550656
7.67e-07,-269.7604405286343
7.5823e-07,-269.8187665198238
7.6111e-07,-269.7933039647577
7.6369e-07,-269.81348017621144
7.5848e-07,-269.8312775330396
7.3966e-07,-269.88700440528635
7.4424e-07,-269.74339207048456
7.3509e-07,-269.88550660792947
7.6714e-07,-269.71691629955944
7.4049e-07,-269.8586784140969
7.6848e-07,-269.7588105726872
7.513e-07,-269.8192070484581
7.5596e-07,-269.7698678414097
7.6076e-07,-269.8096916299559
7.5094e-07,-269.79145374449337
