Photodiode Current (A),Temperature (C)
-9.8792e-08,-272.69387665198235
-9.3935e-08,-272.7009691629956
-1.0112e-07,-272.6979295154185
-1.0248e-07,-272.7023348017621
-1.0338e-07,-272.698281938326
-9.9818e-08,-272.68123348017616
-9.7599e-08,-272.7007929515418
-9.7536e-08,-272.71414537444934
-1.0264e-07,-272.72567400881053
-1.0602e-07,-272.71875770925107
-1.2863e-07,-272.69726872246696
-1.1581e-07,-272.70872246696035
-1.1636e-07,-272.72004845814973
-1.0803e-07,-272.73904845814974
-1.0939e-07,-272.7231850220264
-1.0863e-07,-272.7550969162995
-1.0643e-07,-272.7242907488987
-1.0884e-07,-272.7289030837004
-1.0302e-07,-272.7289030837004
-1.0449e-07,-272.76081497797355
