Photodiode Current (A),Temperature (C)
-1.2082e-07,-272.6670925110132
-1.1686e-07,-272.63242290748894
-1.1385e-07,-272.6481938325991
-1.1368e-07,-272.6501321585903
-1.0913e-07,-272.62321585903084
-1.1376e-07,-272.64651982378854
-1.1372e-07,-272.6497797356828
-1.1242e-07,-272.6330837004405
-1.1833e-07,-272.64718061674006
-1.1715e-07,-272.62145374449335
-1.3246e-07,-272.67973568281934
-1.2928e-07,-272.70704845814976
-1.2107e-07,-272.67290748898677
-1.2046e-07,-272.676872246696
-1.1646e-07,-272.6681057268722
-1.1837e-07,-272.6911013215859
-1.1422e-07,-272.6992070484581
-1.1343e-07,-272.68370044052864
-1.1364e-07,-272.6628634361233
-1.1516e-07,-272.6743171806167
