Pixel 1,
V (V),J (A/cm^2)
-5.0023,-0.00029105
-4.9027,-0.00021727
-4.8033,-0.00016122
-4.7037,-0.00011899
-4.5972,-8.5518e-05
-4.4992,-6.3056e-05
-4.4005,-4.6317e-05
-4.3017,-3.4007e-05
-4.2025,-2.4939e-05
-4.103,-1.8284e-05
-4.0035,-1.3415e-05
-3.8949,-9.5846e-06
-3.7974,-7.097e-06
-3.6993,-5.2533e-06
-3.6007,-3.8879e-06
-3.5017,-2.8811e-06
-3.4021,-2.1355e-06
-3.3027,-1.5866e-06
-3.2031,-1.1829e-06
-3.1036,-8.8495e-07
-3.0037,-6.6382e-07
-2.9038,-5.0159e-07
-2.8038,-3.8129e-07
-2.7038,-2.9354e-07
-2.604,-2.2778e-07
-2.5038,-1.7934e-07
-2.4038,-1.4286e-07
-2.304,-1.1582e-07
-2.204,-9.3854e-08
-2.1039,-7.7982e-08
-2.0036,-6.6296e-08
-1.9037,-5.6186e-08
-1.8037,-4.905e-08
-1.7041,-4.2756e-08
-1.6041,-3.8015e-08
-1.5036,-3.4127e-08
-1.4037,-3.0177e-08
-1.3037,-2.7199e-08
-1.2038,-2.4647e-08
-1.1035,-2.3281e-08
-1.0036,-1.9901e-08
-0.90357,-1.7246e-08
-0.80359,-1.5237e-08
-0.70356,-1.2528e-08
-0.60317,-1.0285e-08
-0.50327,-8.4008e-09
-0.40335,-6.2135e-09
-0.30351,-4.2099e-09
-0.2035,-2.4367e-09
-0.10324,-3.4844e-10
-0.003163,1.6554e-09
0.096718,3.5305e-09
0.19669,5.6519e-09
0.29698,7.529e-09
0.39673,9.442e-09
0.49681,1.1458e-08
0.59672,1.3472e-08
0.69701,1.5532e-08
0.79708,1.7475e-08
0.89711,1.9603e-08
0.99704,2.1493e-08
1.0968,2.3746e-08
1.1971,2.587e-08
1.2971,2.7564e-08
1.3971,2.9875e-08
1.497,3.2029e-08
1.5974,3.4147e-08
1.6973,3.6707e-08
1.797,3.852e-08
1.897,4.0558e-08
1.9974,4.2444e-08
2.0974,4.4782e-08
2.1975,4.7001e-08
2.2976,4.9339e-08
2.3976,5.0894e-08
2.4976,5.3601e-08
2.5976,5.5652e-08
2.6975,5.8026e-08
2.7979,5.9642e-08
2.8979,6.1713e-08
2.9979,6.4892e-08
3.0977,6.6799e-08
3.198,6.9545e-08
3.298,7.1643e-08
3.398,7.4215e-08
3.4979,7.7177e-08
3.5979,7.8521e-08
3.6985,8.2202e-08
3.7981,8.3741e-08
3.8981,8.7474e-08
3.9982,8.9606e-08
4.0984,9.0048e-08
4.1984,9.3801e-08
4.2985,9.5613e-08
4.3984,9.7532e-08
4.4985,1.0152e-07
4.5985,1.0499e-07
4.6983,1.0688e-07
4.7984,1.1008e-07
4.8986,1.1296e-07
4.9986,1.1486e-07
