suffix,time
(1),00:00:00
(2),00:01:00
(3),00:05:00
(4),00:08:00
(5),00:09:00
(6),00:11:00
(7),00:13:00
(8),00:17:00
(9),00:18:00
(10),00:23:00
(11),00:28:00
(12),00:35:00
(13),00:38:00
(14),00:40:00
