Photodiode Current (A),Temperature (C)
1.2692e-06,-267.13502202643167
1.2695e-06,-266.986563876652
1.287e-06,-267.16938325991185
1.2687e-06,-266.986563876652
1.2917e-06,-267.18171806167396
1.4363e-06,-266.98876651982374
1.3985e-06,-267.1623348017621
1.3582e-06,-267.04118942731276
1.3956e-06,-267.14911894273126
1.3569e-06,-267.07202643171803
1.256e-06,-267.46982378854625
1.2346e-06,-267.4980176211454
1.2715e-06,-267.50022026431714
1.2448e-06,-267.4636563876652
1.284e-06,-267.5711453744493
1.2673e-06,-267.44603524229075
1.2818e-06,-267.57511013215856
1.2667e-06,-267.40682819383255
1.2735e-06,-267.55925110132154
1.2789e-06,-267.4077092511013
