Photodiode Current (A),Temperature (C)
1.2389e-06,-267.76409691629954
1.2434e-06,-267.60374449339207
1.234e-06,-267.7226872246696
1.2484e-06,-267.58436123348014
1.2275e-06,-267.7693832599119
1.2547e-06,-267.6636563876652
1.2168e-06,-267.73237885462555
1.2571e-06,-267.592731277533
1.222e-06,-267.75220264317176
1.2574e-06,-267.60903083700435
1.1917e-06,-267.6535242290749
1.2206e-06,-267.7011013215859
1.2204e-06,-267.5931718061674
1.2254e-06,-267.7363436123348
1.2479e-06,-267.5566079295154
1.218e-06,-267.75220264317176
1.254e-06,-267.545154185022
1.2228e-06,-267.7508810572687
1.2677e-06,-267.58524229074885
1.2188e-06,-267.70462555066075
