Photodiode Current (A),Temperature (C)
9.8399e-07,-268.72973568281935
1.0047e-06,-268.845859030837
9.9016e-07,-268.6870044052863
9.9751e-07,-268.8315859030837
9.8987e-07,-268.70374449339204
9.893e-07,-268.8330396475771
9.9397e-07,-268.71651982378853
9.829e-07,-268.7803964757709
1.0018e-06,-268.76766519823786
9.7609e-07,-268.7971806167401
9.5202e-07,-268.8325110132158
9.9502e-07,-268.6755506607929
9.6531e-07,-268.79920704845813
9.9822e-07,-268.7561233480176
9.7168e-07,-268.75440528634357
9.9485e-07,-268.6993392070484
9.8752e-07,-268.82180616740084
9.9106e-07,-268.65616740088103
9.9533e-07,-268.8059471365639
9.8365e-07,-268.69229074889864
