Photodiode Current (A),Temperature (C)
1.2685e-06,-267.7262114537445
1.2281e-06,-267.5676211453744
1.2515e-06,-267.7363436123348
1.2437e-06,-267.5685022026432
1.2394e-06,-267.6896475770925
1.2555e-06,-267.6398678414097
1.2319e-06,-267.5940528634361
1.2668e-06,-267.6940528634361
1.2302e-06,-267.5667400881057
1.2672e-06,-267.72092511013216
1.2212e-06,-267.64603524229074
1.2598e-06,-267.6275330396476
1.2406e-06,-267.6790748898678
1.2598e-06,-267.58436123348014
1.2521e-06,-267.6918502202643
1.2614e-06,-267.5433920704846
1.2567e-06,-267.69713656387665
1.2436e-06,-267.53854625550656
1.2643e-06,-267.69537444933917
1.2316e-06,-267.51167400881053
