Photodiode Current (A),Temperature (C)
1.2594e-06,-267.64691629955945
1.2635e-06,-267.4896475770925
1.261e-06,-267.64735682819384
1.2671e-06,-267.46497797356824
1.2699e-06,-267.6539647577092
1.2513e-06,-267.4839207048458
1.2778e-06,-267.63237885462553
1.2518e-06,-267.51255506607924
1.2892e-06,-267.5715859030837
1.2545e-06,-267.57422907488984
1.2665e-06,-267.45748898678414
1.2731e-06,-267.6046255506608
1.2594e-06,-267.57511013215856
1.2798e-06,-267.3803964757709
1.2562e-06,-267.561013215859
1.2873e-06,-267.3746696035242
1.2571e-06,-267.4953744493392
1.2902e-06,-267.37422907488985
1.2553e-06,-267.5103524229075
1.2884e-06,-267.4398678414097
