wavelength (nm),Spectral irradiance (W⋅m–2⋅nm–1),Cumulative photon flux (cm–2⋅s–1)
1270,0.3711,3.082E+017
1271,0.4045,3.084E+017
1272,0.4075,3.087E+017
1273,0.4054,3.089E+017
1274,0.4058,3.092E+017
1275,0.4109,3.095E+017
1276,0.4158,3.097E+017
1277,0.4195,3.1E+017
1278,0.4248,3.103E+017
1279,0.4231,3.105E+017
1280,0.4201,3.108E+017
1281,0.4081,3.111E+017
1282,0.3813,3.113E+017
1283,0.4035,3.116E+017
1284,0.4186,3.118E+017
1285,0.423,3.121E+017
1286,0.425,3.124E+017
1287,0.4214,3.127E+017
1288,0.4179,3.129E+017
1289,0.4099,3.132E+017
1290,0.4121,3.135E+017
1291,0.4136,3.137E+017
1292,0.3998,3.14E+017
1293,0.408,3.143E+017
1294,0.4041,3.145E+017
1295,0.4019,3.148E+017
1296,0.3878,3.15E+017
1297,0.3749,3.153E+017
1298,0.3904,3.155E+017
1299,0.3981,3.158E+017
1300,0.36,3.16E+017
1301,0.3636,3.163E+017
1302,0.3815,3.165E+017
1303,0.3451,3.168E+017
1304,0.316,3.17E+017
1305,0.3726,3.172E+017
1306,0.3733,3.175E+017
1307,0.3199,3.177E+017
1308,0.3455,3.179E+017
1309,0.368,3.181E+017
1310,0.3145,3.183E+017
1311,0.3288,3.186E+017
1312,0.3298,3.188E+017
1313,0.3123,3.19E+017
1314,0.2908,3.192E+017
1315,0.2901,3.194E+017
1316,0.3168,3.196E+017
1317,0.3151,3.198E+017
1318,0.3214,3.2E+017
1319,0.2748,3.202E+017
1320,0.2643,3.204E+017
1321,0.2934,3.205E+017
1322,0.292,3.207E+017
1323,0.2444,3.209E+017
1324,0.2656,3.211E+017
1325,0.3085,3.213E+017
1326,0.2834,3.215E+017
1327,0.2638,3.217E+017
1328,0.2309,3.218E+017
1329,0.1906,3.219E+017
1330,0.2119,3.221E+017
1331,0.1548,3.222E+017
1332,0.1521,3.223E+017
1333,0.1915,3.224E+017
1334,0.181,3.225E+017
1335,0.2173,3.227E+017
1336,0.1866,3.228E+017
1337,0.1681,3.229E+017
1338,0.176,3.23E+017
1339,0.1753,3.232E+017
1340,0.1693,3.233E+017
1341,0.1708,3.234E+017
1342,0.1706,3.235E+017
1343,0.1269,3.236E+017
1344,0.08605,3.236E+017
1345,0.09843,3.237E+017
1346,0.06461,3.238E+017
1347,0.05276,3.238E+017
1348,0.01303,3.238E+017
1349,0.01466,3.238E+017
1350,0.01459,3.238E+017
1351,0.005638,3.238E+017
1352,0.001713,3.238E+017
1353,0.0003,3.238E+017
1354,0.0002375,3.238E+017
1355,0.0000375,3.238E+017
1356,0.0000125,3.238E+017
1357,0.000075,3.238E+017
1358,0.0000125,3.238E+017
1359,0,3.238E+017
1360,0,3.238E+017
1361,0,3.238E+017
1362,0,3.238E+017
1363,0,3.238E+017
1364,0,3.238E+017
1365,0,3.238E+017
1366,0,3.238E+017
1367,0,3.238E+017
1368,0,3.238E+017
1369,0,3.238E+017
1370,0,3.238E+017
1371,0,3.238E+017
1372,0,3.238E+017
1373,0.000025,3.238E+017
1374,0.0001875,3.238E+017
1375,0.0002875,3.238E+017
1376,0.000275,3.238E+017
1377,0.00025,3.238E+017
1378,0.00085,3.238E+017
1379,0.000225,3.238E+017
1380,0.0000875,3.238E+017
1381,0.0000125,3.238E+017
1382,0,3.238E+017
1383,0,3.238E+017
1384,0,3.238E+017
1385,0,3.238E+017
1386,0.000025,3.238E+017
1387,0.00015,3.238E+017
1388,0.0001,3.238E+017
1389,0.0005125,3.238E+017
1390,0.0004875,3.238E+017
1391,0.0002875,3.238E+017
1392,0.00005,3.238E+017
1393,0.0000875,3.238E+017
1394,0.0000875,3.238E+017
1395,0.0000125,3.238E+017
1396,0,3.238E+017
1397,0.0001625,3.238E+017
1398,0.001075,3.238E+017
1399,0.0007625,3.238E+017
1400,0.0001,3.238E+017
1401,0.000225,3.238E+017
1402,0.00165,3.238E+017
1403,0.002113,3.238E+017
1404,0.000825,3.238E+017
1405,0.0003375,3.238E+017
1406,0.001525,3.238E+017
1407,0.0006,3.238E+017
1408,0.0013,3.238E+017
1409,0.0007125,3.238E+017
1410,0.0007125,3.238E+017
1411,0.001963,3.238E+017
1412,0.005125,3.238E+017
1413,0.01785,3.239E+017
1414,0.003238,3.239E+017
1415,0.004638,3.239E+017
1416,0.02811,3.239E+017
1417,0.0149,3.239E+017
1418,0.01185,3.239E+017
1419,0.004288,3.239E+017
1420,0.00755,3.239E+017
1421,0.01363,3.239E+017
1422,0.03694,3.239E+017
1423,0.01479,3.24E+017
1424,0.01705,3.24E+017
1425,0.02493,3.24E+017
1426,0.03018,3.24E+017
1427,0.04108,3.24E+017
1428,0.01429,3.24E+017
1429,0.03666,3.241E+017
1430,0.05704,3.241E+017
1431,0.04549,3.241E+017
1432,0.01259,3.242E+017
1433,0.0297,3.242E+017
1434,0.02281,3.242E+017
1435,0.02344,3.242E+017
1436,0.03505,3.242E+017
1437,0.02878,3.243E+017
1438,0.01999,3.243E+017
1439,0.04476,3.243E+017
1440,0.03995,3.243E+017
1441,0.03324,3.244E+017
1442,0.03673,3.244E+017
1443,0.0459,3.244E+017
1444,0.05801,3.245E+017
1445,0.04778,3.245E+017
1446,0.02796,3.245E+017
1447,0.04433,3.245E+017
1448,0.1035,3.246E+017
1449,0.09429,3.247E+017
1450,0.03463,3.247E+017
1451,0.01959,3.247E+017
1452,0.05826,3.248E+017
1453,0.08618,3.248E+017
1454,0.1212,3.249E+017
1455,0.07766,3.25E+017
1456,0.0891,3.25E+017
1457,0.1158,3.251E+017
1458,0.137,3.252E+017
1459,0.1499,3.253E+017
1460,0.09553,3.254E+017
1461,0.0944,3.255E+017
1462,0.1141,3.256E+017
1463,0.06745,3.256E+017
1464,0.1303,3.257E+017
1465,0.09683,3.258E+017
1466,0.06488,3.258E+017
1467,0.04464,3.259E+017
1468,0.07384,3.259E+017
1469,0.08673,3.26E+017
1470,0.05118,3.26E+017
1471,0.02536,3.26E+017
1472,0.04593,3.261E+017
1473,0.07046,3.261E+017
1474,0.1046,3.262E+017
1475,0.1587,3.263E+017
1476,0.08314,3.264E+017
1477,0.06861,3.264E+017
1478,0.07116,3.265E+017
1479,0.1055,3.266E+017
1480,0.07475,3.266E+017
1481,0.1011,3.267E+017
1482,0.0766,3.267E+017
1483,0.1354,3.268E+017
1484,0.1369,3.27E+017
1485,0.1263,3.27E+017
1486,0.1154,3.271E+017
1487,0.07249,3.272E+017
1488,0.1016,3.273E+017
1489,0.1752,3.274E+017
1490,0.1788,3.275E+017
1491,0.19,3.277E+017
1492,0.1703,3.278E+017
1493,0.1816,3.279E+017
1494,0.1976,3.281E+017
1495,0.1829,3.282E+017
1496,0.1773,3.284E+017
1497,0.2156,3.285E+017
1498,0.1974,3.287E+017
1499,0.2176,3.288E+017
1500,0.2478,3.29E+017
1501,0.2591,3.292E+017
1502,0.2309,3.294E+017
1503,0.1871,3.295E+017
1504,0.166,3.297E+017
1505,0.1901,3.298E+017
1506,0.2475,3.3E+017
1507,0.2529,3.302E+017
1508,0.2365,3.304E+017
1509,0.2035,3.305E+017
1510,0.2588,3.307E+017
1511,0.2643,3.309E+017
1512,0.2583,3.311E+017
1513,0.2421,3.313E+017
1514,0.2321,3.315E+017
1515,0.2589,3.317E+017
1516,0.2563,3.319E+017
1517,0.2501,3.32E+017
1518,0.2499,3.322E+017
1519,0.2474,3.324E+017
1520,0.2628,3.326E+017
1521,0.2714,3.328E+017
1522,0.2664,3.33E+017
1523,0.2765,3.333E+017
1524,0.2734,3.335E+017
1525,0.2613,3.337E+017
1526,0.2651,3.339E+017
1527,0.264,3.341E+017
1528,0.2759,3.343E+017
1529,0.2708,3.345E+017
1530,0.2589,3.347E+017
1531,0.2684,3.349E+017
1532,0.2766,3.351E+017
1533,0.2753,3.353E+017
1534,0.2688,3.355E+017
1535,0.2673,3.357E+017
1536,0.2729,3.359E+017
1537,0.2729,3.362E+017
1538,0.2714,3.364E+017
1539,0.2709,3.366E+017
1540,0.2655,3.368E+017
1541,0.2676,3.37E+017
1542,0.2691,3.372E+017
1543,0.2708,3.374E+017
1544,0.2716,3.376E+017
1545,0.2751,3.378E+017
1546,0.274,3.38E+017
1547,0.2715,3.383E+017
1548,0.2676,3.385E+017
1549,0.2716,3.387E+017
1550,0.2696,3.389E+017
1551,0.27,3.391E+017
1552,0.2709,3.393E+017
1553,0.2701,3.395E+017
1554,0.2653,3.397E+017
1555,0.266,3.399E+017
1556,0.2636,3.401E+017
1557,0.2688,3.404E+017
1558,0.2681,3.406E+017
1559,0.2669,3.408E+017
1560,0.2658,3.41E+017
1561,0.2683,3.412E+017
1562,0.2671,3.414E+017
1563,0.2656,3.416E+017
1564,0.2631,3.418E+017
1565,0.2658,3.42E+017
1566,0.2626,3.422E+017
1567,0.2614,3.424E+017
1568,0.2573,3.426E+017
1569,0.2528,3.428E+017
1570,0.2418,3.43E+017
1571,0.2353,3.432E+017
1572,0.2361,3.434E+017
1573,0.2345,3.436E+017
1574,0.2398,3.438E+017
1575,0.2401,3.44E+017
1576,0.2413,3.442E+017
1577,0.2214,3.443E+017
1578,0.2326,3.445E+017
1579,0.2369,3.447E+017
1580,0.2435,3.449E+017
1581,0.2466,3.451E+017
1582,0.2426,3.453E+017
1583,0.2464,3.455E+017
1584,0.2491,3.457E+017
1585,0.2564,3.459E+017
1586,0.255,3.461E+017
1587,0.2521,3.463E+017
1588,0.248,3.465E+017
1589,0.2354,3.467E+017
1590,0.2399,3.469E+017
1591,0.2424,3.471E+017
1592,0.2514,3.473E+017
1593,0.257,3.475E+017
1594,0.2565,3.477E+017
1595,0.256,3.479E+017
1596,0.246,3.481E+017
1597,0.2468,3.483E+017
1598,0.2514,3.485E+017
1599,0.2421,3.487E+017
1600,0.2358,3.489E+017
1601,0.2249,3.491E+017
1602,0.2238,3.492E+017
1603,0.2238,3.494E+017
1604,0.2284,3.496E+017
1605,0.2356,3.498E+017
1606,0.2393,3.5E+017
1607,0.2328,3.502E+017
1608,0.2291,3.504E+017
1609,0.226,3.505E+017
1610,0.2194,3.507E+017
1611,0.2254,3.509E+017
1612,0.2304,3.511E+017
1613,0.2363,3.513E+017
1614,0.2381,3.515E+017
1615,0.2385,3.517E+017
1616,0.2318,3.519E+017
1617,0.2346,3.52E+017
1618,0.2415,3.522E+017
1619,0.2396,3.524E+017
1620,0.2348,3.526E+017
1621,0.2344,3.528E+017
1622,0.2373,3.53E+017
1623,0.2414,3.532E+017
1624,0.2414,3.534E+017
1625,0.2379,3.536E+017
1626,0.2389,3.538E+017
1627,0.24,3.54E+017
1628,0.2409,3.542E+017
1629,0.2404,3.544E+017
1630,0.2368,3.546E+017
1631,0.237,3.548E+017
1632,0.2371,3.55E+017
1633,0.2328,3.552E+017
1634,0.2321,3.554E+017
1635,0.2331,3.555E+017
1636,0.2336,3.557E+017
1637,0.2263,3.559E+017
1638,0.22,3.561E+017
1639,0.2193,3.563E+017
1640,0.2161,3.565E+017
1641,0.2186,3.566E+017
1642,0.2193,3.568E+017
1643,0.2166,3.57E+017
1644,0.2214,3.572E+017
1645,0.2185,3.574E+017
1646,0.2184,3.575E+017
1647,0.2244,3.577E+017
1648,0.2176,3.579E+017
1649,0.2186,3.581E+017
1650,0.222,3.583E+017
1651,0.212,3.585E+017
1652,0.221,3.586E+017
1653,0.2213,3.588E+017
1654,0.2168,3.59E+017
1655,0.2209,3.592E+017
1656,0.2205,3.594E+017
1657,0.222,3.596E+017
1658,0.2234,3.597E+017
1659,0.2216,3.599E+017
1660,0.2228,3.601E+017
1661,0.2224,3.603E+017
1662,0.2191,3.605E+017
1663,0.2213,3.607E+017
1664,0.2191,3.609E+017
1665,0.208,3.61E+017
1666,0.1861,3.612E+017
1667,0.2065,3.614E+017
1668,0.2136,3.615E+017
1669,0.2156,3.617E+017
1670,0.2199,3.619E+017
1671,0.2175,3.621E+017
1672,0.2125,3.623E+017
1673,0.2153,3.624E+017
1674,0.2149,3.626E+017
1675,0.213,3.628E+017
1676,0.2114,3.63E+017
1677,0.2115,3.632E+017
1678,0.2098,3.633E+017
1679,0.2108,3.635E+017
1680,0.2045,3.637E+017
1681,0.1965,3.639E+017
1682,0.2026,3.64E+017
1683,0.2068,3.642E+017
1684,0.2005,3.644E+017
1685,0.2106,3.645E+017
1686,0.2096,3.647E+017
1687,0.2055,3.649E+017
1688,0.2089,3.651E+017
1689,0.2071,3.653E+017
1690,0.2038,3.654E+017
1691,0.1963,3.656E+017
1692,0.2058,3.658E+017
1693,0.2096,3.659E+017
1694,0.2055,3.661E+017
1695,0.2084,3.663E+017
1696,0.2055,3.665E+017
1697,0.1878,3.666E+017
1698,0.2035,3.668E+017
1699,0.2045,3.67E+017
1700,0.2,3.672E+017
1701,0.201,3.673E+017
1702,0.2025,3.675E+017
1703,0.201,3.677E+017
1704,0.199,3.678E+017
1705,0.197,3.68E+017
1706,0.195,3.682E+017
1707,0.193,3.683E+017
1708,0.191,3.685E+017
1709,0.189,3.687E+017
1710,0.1873,3.688E+017
1711,0.1874,3.69E+017
1712,0.1878,3.692E+017
1713,0.1882,3.693E+017
1714,0.1886,3.695E+017
1715,0.1889,3.696E+017
1716,0.1884,3.698E+017
1717,0.1878,3.7E+017
1718,0.1872,3.701E+017
1719,0.1866,3.703E+017
1720,0.1859,3.705E+017
1721,0.1844,3.706E+017
1722,0.1828,3.708E+017
1723,0.1812,3.709E+017
1724,0.1796,3.711E+017
1725,0.1781,3.712E+017
1726,0.1772,3.714E+017
1727,0.1764,3.715E+017
1728,0.1756,3.717E+017
1729,0.1748,3.719E+017
1730,0.1738,3.72E+017
1731,0.1714,3.722E+017
1732,0.1688,3.723E+017
1733,0.1662,3.724E+017
1734,0.1636,3.726E+017
1735,0.1615,3.727E+017
1736,0.1624,3.729E+017
1737,0.1638,3.73E+017
1738,0.1652,3.732E+017
1739,0.1666,3.733E+017
1740,0.1675,3.734E+017
1741,0.1652,3.736E+017
1742,0.1624,3.737E+017
1743,0.1596,3.739E+017
1744,0.1568,3.74E+017
1745,0.1546,3.741E+017
1746,0.1562,3.743E+017
1747,0.1584,3.744E+017
1748,0.1606,3.746E+017
1749,0.1628,3.747E+017
1750,0.1644,3.749E+017
1751,0.1626,3.75E+017
1752,0.1602,3.751E+017
1753,0.1578,3.753E+017
1754,0.1554,3.754E+017
1755,0.1535,3.756E+017
1756,0.1544,3.757E+017
1757,0.1558,3.758E+017
1758,0.1572,3.76E+017
1759,0.1586,3.761E+017
1760,0.1592,3.762E+017
1761,0.1546,3.764E+017
1762,0.1492,3.765E+017
1763,0.1438,3.766E+017
1764,0.1384,3.768E+017
1765,0.1339,3.769E+017
1766,0.1346,3.77E+017
1767,0.1362,3.771E+017
1768,0.1378,3.772E+017
1769,0.1394,3.774E+017
1770,0.1402,3.775E+017
1771,0.1358,3.776E+017
1772,0.1306,3.777E+017
1773,0.1254,3.778E+017
1774,0.1202,3.78E+017
1775,0.1153,3.781E+017
1776,0.112,3.782E+017
1777,0.109,3.783E+017
1778,0.106,3.783E+017
1779,0.103,3.784E+017
1780,0.0998,3.785E+017
1781,0.09536,3.786E+017
1782,0.09072,3.787E+017
1783,0.08608,3.788E+017
1784,0.08144,3.788E+017
1785,0.07768,3.789E+017
1786,0.07916,3.79E+017
1787,0.08152,3.791E+017
1788,0.08388,3.791E+017
1789,0.08624,3.792E+017
1790,0.08726,3.793E+017
1791,0.08024,3.794E+017
1792,0.07188,3.794E+017
1793,0.06352,3.795E+017
1794,0.05516,3.795E+017
1795,0.04747,3.796E+017
1796,0.04378,3.796E+017
1797,0.04076,3.797E+017
1798,0.03774,3.797E+017
1799,0.03472,3.797E+017
1800,0.03166,3.798E+017
1801,0.02832,3.798E+017
1802,0.02494,3.798E+017
1803,0.02156,3.798E+017
1804,0.01818,3.798E+017
1805,0.0151,3.798E+017
1806,0.01378,3.799E+017
1807,0.01276,3.799E+017
1808,0.01174,3.799E+017
1809,0.01072,3.799E+017
1810,0.009668,3.799E+017
1811,0.00842,3.799E+017
1812,0.00714,3.799E+017
1813,0.00586,3.799E+017
1814,0.00458,3.799E+017
1815,0.003403,3.799E+017
1816,0.00284,3.799E+017
1817,0.00238,3.799E+017
1818,0.00192,3.799E+017
1819,0.00146,3.799E+017
1820,0.001065,3.799E+017
1821,0.00106,3.799E+017
1822,0.00112,3.799E+017
1823,0.00118,3.799E+017
1824,0.00124,3.799E+017
1825,0.00126,3.799E+017
1826,0.00104,3.799E+017
1827,0.00078,3.799E+017
1828,0.00052,3.799E+017
1829,0.00026,3.799E+017
1830,0.0000325,3.799E+017
1831,0,3.799E+017
1832,0,3.799E+017
1833,0,3.799E+017
1834,0,3.799E+017
1835,0,3.799E+017
1836,0,3.799E+017
1837,0,3.799E+017
1838,0,3.799E+017
1839,0,3.799E+017
1840,0,3.799E+017
1841,0,3.799E+017
1842,0,3.799E+017
1843,0,3.799E+017
1844,0,3.799E+017
1845,0,3.799E+017
1846,0,3.799E+017
1847,0,3.799E+017
1848,0,3.799E+017
1849,0,3.799E+017
1850,0,3.799E+017
1851,0,3.799E+017
1852,0,3.799E+017
1853,0,3.799E+017
1854,0,3.799E+017
1855,0,3.799E+017
1856,0,3.799E+017
1857,0,3.799E+017
1858,0,3.799E+017
1859,0,3.799E+017
1860,0,3.799E+017
1861,0,3.799E+017
1862,0,3.799E+017
1863,0,3.799E+017
1864,0,3.799E+017
1865,0,3.799E+017
1866,0,3.799E+017
1867,0,3.799E+017
1868,0,3.799E+017
1869,0,3.799E+017
1870,0,3.799E+017
1871,0,3.799E+017
1872,0,3.799E+017
1873,0,3.799E+017
1874,0,3.799E+017
1875,0.0000025,3.799E+017
1876,0.00002,3.799E+017
1877,0.00004,3.799E+017
1878,0.00006,3.799E+017
1879,0.00008,3.799E+017
1880,0.000095,3.799E+017
1881,0.00008,3.799E+017
1882,0.00006,3.799E+017
1883,0.00004,3.799E+017
1884,0.00002,3.799E+017
1885,0.0000075,3.799E+017
1886,0.00004,3.799E+017
1887,0.00008,3.799E+017
1888,0.00012,3.799E+017
1889,0.00016,3.799E+017
1890,0.0001925,3.799E+017
1891,0.00018,3.799E+017
1892,0.00016,3.799E+017
1893,0.00014,3.799E+017
1894,0.00012,3.799E+017
1895,0.0001,3.799E+017
1896,0.00008,3.799E+017
1897,0.00006,3.799E+017
1898,0.00004,3.799E+017
1899,0.00002,3.799E+017
1900,0.0000025,3.799E+017
1901,0,3.799E+017
1902,0,3.799E+017
1903,0,3.799E+017
1904,0,3.799E+017
1905,0,3.799E+017
1906,0,3.799E+017
1907,0,3.799E+017
1908,0,3.799E+017
1909,0,3.799E+017
1910,0,3.799E+017
1911,0,3.799E+017
1912,0,3.799E+017
1913,0,3.799E+017
1914,0,3.799E+017
1915,0.00001,3.799E+017
1916,0.00008,3.799E+017
1917,0.00016,3.799E+017
1918,0.00024,3.799E+017
1919,0.00032,3.799E+017
1920,0.0004025,3.799E+017
1921,0.0005,3.799E+017
1922,0.0006,3.799E+017
1923,0.0007,3.799E+017
1924,0.0008,3.8E+017
1925,0.00088,3.8E+017
1926,0.00084,3.8E+017
1927,0.00078,3.8E+017
1928,0.00072,3.8E+017
1929,0.00066,3.8E+017
1930,0.0006825,3.8E+017
1931,0.0012,3.8E+017
1932,0.0018,3.8E+017
1933,0.0024,3.8E+017
1934,0.003,3.8E+017
1935,0.003518,3.8E+017
1936,0.00354,3.8E+017
1937,0.00348,3.8E+017
1938,0.00342,3.8E+017
1939,0.00336,3.8E+017
1940,0.003495,3.8E+017
1941,0.0048,3.8E+017
1942,0.0063,3.8E+017
1943,0.0078,3.8E+017
1944,0.0093,3.8E+017
1945,0.01076,3.8E+017
1946,0.01198,3.8E+017
1947,0.01316,3.8E+017
1948,0.01434,3.801E+017
1949,0.01552,3.801E+017
1950,0.01639,3.801E+017
1951,0.01536,3.801E+017
1952,0.01402,3.801E+017
1953,0.01268,3.801E+017
1954,0.01134,3.801E+017
1955,0.01046,3.802E+017
1956,0.01236,3.802E+017
1957,0.01472,3.802E+017
1958,0.01708,3.802E+017
1959,0.01944,3.802E+017
1960,0.02167,3.802E+017
1961,0.02314,3.803E+017
1962,0.02448,3.803E+017
1963,0.02582,3.803E+017
1964,0.02716,3.803E+017
1965,0.02884,3.804E+017
1966,0.03254,3.804E+017
1967,0.03658,3.804E+017
1968,0.04062,3.805E+017
1969,0.04466,3.805E+017
1970,0.04867,3.806E+017
1971,0.0525,3.806E+017
1972,0.0563,3.807E+017
1973,0.0601,3.807E+017
1974,0.0639,3.808E+017
1975,0.06742,3.809E+017
1976,0.06922,3.809E+017
1977,0.07074,3.81E+017
1978,0.07226,3.811E+017
1979,0.07378,3.811E+017
1980,0.0753,3.812E+017
1981,0.0768,3.813E+017
1982,0.0783,3.814E+017
1983,0.0798,3.815E+017
1984,0.0813,3.815E+017
1985,0.08268,3.816E+017
1986,0.08332,3.817E+017
1987,0.08384,3.818E+017
1988,0.08436,3.819E+017
1989,0.08488,3.82E+017
1990,0.08523,3.82E+017
1991,0.08452,3.821E+017
1992,0.08364,3.822E+017
1993,0.08276,3.823E+017
1994,0.08188,3.824E+017
1995,0.08004,3.825E+017
1996,0.0724,3.825E+017
1997,0.0638,3.826E+017
1998,0.0552,3.827E+017
1999,0.0466,3.827E+017
2000,0.0385,3.827E+017
