wavelength (nm),Spectral irradiance (W⋅m–2⋅nm–1),Cumulative photon flux (cm–2⋅s–1)
504,1.478,4.187E+016
505,1.554,4.226E+016
506,1.604,4.267E+016
507,1.554,4.307E+016
508,1.524,4.346E+016
509,1.566,4.386E+016
510,1.549,4.426E+016
511,1.571,4.466E+016
512,1.594,4.507E+016
513,1.526,4.546E+016
514,1.491,4.585E+016
515,1.525,4.625E+016
516,1.504,4.664E+016
517,1.318,4.698E+016
518,1.411,4.735E+016
519,1.413,4.772E+016
520,1.505,4.811E+016
521,1.533,4.851E+016
522,1.545,4.892E+016
523,1.496,4.931E+016
524,1.573,4.972E+016
525,1.568,5.014E+016
526,1.511,5.054E+016
527,1.388,5.091E+016
528,1.515,5.131E+016
529,1.584,5.173E+016
530,1.558,5.215E+016
531,1.608,5.258E+016
532,1.58,5.3E+016
533,1.456,5.339E+016
534,1.519,5.38E+016
535,1.556,5.422E+016
536,1.595,5.465E+016
537,1.516,5.506E+016
538,1.555,5.548E+016
539,1.529,5.589E+016
540,1.479,5.629E+016
541,1.444,5.669E+016
542,1.53,5.71E+016
543,1.53,5.752E+016
544,1.56,5.795E+016
545,1.541,5.837E+016
546,1.525,5.879E+016
547,1.533,5.921E+016
548,1.511,5.963E+016
549,1.543,6.005E+016
550,1.54,6.048E+016
551,1.536,6.091E+016
552,1.559,6.134E+016
553,1.53,6.176E+016
554,1.548,6.22E+016
555,1.555,6.263E+016
556,1.529,6.306E+016
557,1.5,6.348E+016
558,1.514,6.39E+016
559,1.455,6.431E+016
560,1.478,6.473E+016
561,1.539,6.516E+016
562,1.498,6.559E+016
563,1.529,6.602E+016
564,1.515,6.645E+016
565,1.508,6.688E+016
566,1.454,6.729E+016
567,1.515,6.772E+016
568,1.509,6.815E+016
569,1.484,6.858E+016
570,1.474,6.9E+016
571,1.446,6.942E+016
572,1.501,6.985E+016
573,1.518,7.029E+016
574,1.506,7.072E+016
575,1.474,7.115E+016
576,1.466,7.157E+016
577,1.489,7.2E+016
578,1.459,7.243E+016
579,1.471,7.286E+016
580,1.496,7.329E+016
581,1.504,7.373E+016
