suffix,time
(1),00:00:00
(2),00:02:00
(3),00:04:00
(4),00:06:00
(6),00:08:00
(7),00:10:00
(8),00:16:00
(9),00:21:00
(10),00:25:00
(11),00:30:00
(12),00:35:00
(13),00:40:00
