Photodiode Current (A),Temperature (C)
1.7746e-06,-265.3107929515418
1.7377e-06,-265.4372246696035
1.7354e-06,-265.41035242290747
1.7827e-06,-265.40726872246694
1.727e-06,-265.37555066079295
1.7636e-06,-265.31255506607926
1.7206e-06,-265.2213656387665
1.7692e-06,-265.1517621145374
1.7457e-06,-265.30859030837
1.7283e-06,-265.21519823788543
1.9699e-06,-264.0407488986784
2.1166e-06,-263.9729074889868
1.9973e-06,-264.03766519823785
2.0383e-06,-263.85969162995593
1.9967e-06,-264.19581497797355
2.0463e-06,-263.87290748898675
2.0361e-06,-264.11387665198237
2.0546e-06,-263.83898678414096
2.0241e-06,-264.12444933920705
2.0896e-06,-264.57731277533037
