Photodiode Current (A),Temperature (C)
1.6413e-06,-266.05352422907487
1.6229e-06,-265.83634361233476
1.6168e-06,-266.0011013215859
1.6446e-06,-265.9266519823788
1.6084e-06,-265.99185022026427
1.6583e-06,-266.0442731277533
1.623e-06,-265.95748898678414
1.6416e-06,-266.07599118942727
1.6349e-06,-265.940308370044
1.6286e-06,-266.1033039647577
1.5929e-06,-266.1262114537445
1.6283e-06,-265.95
1.5892e-06,-266.1050660792951
1.6401e-06,-265.9429515418502
1.6082e-06,-266.07070484581493
1.611e-06,-265.96850220264315
1.6155e-06,-266.0068281938326
1.5899e-06,-266.01872246696036
1.6279e-06,-265.96806167400877
1.5931e-06,-266.0438325991189
