Pixel 1,
V (V),J (A/cm^2)
-4.9992,-0.00060704
-4.901,-0.00040262
-4.8025,-0.0002535
-4.7035,-0.00015248
-4.6042,-8.7643e-05
-4.5007,-4.7991e-05
-4.4024,-2.6116e-05
-4.3036,-1.3414e-05
-4.1987,-6.1772e-06
-4.1023,-2.4829e-06
-4.0043,-5.4494e-07
-3.9051,5.4115e-07
-3.8056,1.0245e-06
-3.7058,1.1273e-06
-3.6059,1.2008e-06
-3.5059,1.2562e-06
-3.4056,1.217e-06
-3.3056,1.267e-06
-3.2057,1.2952e-06
-3.1059,1.2596e-06
-3.0057,1.3043e-06
-2.9056,1.3416e-06
-2.8056,1.3056e-06
-2.7056,1.3734e-06
-2.6056,1.3798e-06
-2.5054,1.3678e-06
-2.4056,1.4219e-06
-2.3056,1.4393e-06
-2.2056,1.4236e-06
-2.1055,1.4889e-06
-2.0053,1.4672e-06
-1.9054,1.5318e-06
-1.8054,1.5498e-06
-1.7057,1.5351e-06
-1.6058,1.6064e-06
-1.5055,1.6258e-06
-1.4055,1.7078e-06
-1.3055,1.6675e-06
-1.2056,1.7066e-06
-1.1054,1.7333e-06
-1.0055,1.7338e-06
-0.90541,1.7213e-06
-0.80554,1.8147e-06
-0.70551,1.8076e-06
-0.60511,1.7751e-06
-0.50529,1.8824e-06
-0.40531,1.7702e-06
-0.30549,1.8486e-06
-0.20543,1.9085e-06
-0.1052,1.7813e-06
-0.005252,1.9045e-06
0.094694,2.0391e-06
0.19468,1.9614e-06
0.29492,1.9742e-06
0.39466,1.9622e-06
0.49486,1.8865e-06
0.59464,2.0213e-06
0.69472,2.0945e-06
0.795,2.0032e-06
0.89507,1.9661e-06
0.99497,2.189e-06
1.0947,2.0671e-06
1.1949,2.1367e-06
1.2948,2.1716e-06
1.3949,2.1269e-06
1.4948,2.1693e-06
1.5951,2.1549e-06
1.695,2.2365e-06
1.7947,2.2382e-06
1.8948,2.2383e-06
1.9951,2.3392e-06
2.0951,2.3794e-06
2.1949,2.546e-06
2.295,2.547e-06
2.3949,2.5709e-06
2.495,2.5192e-06
2.5949,3.1151e-06
2.6946,3.2407e-06
2.7942,3.5317e-06
2.8942,3.6863e-06
2.9941,3.0676e-06
3.0942,3.3992e-06
3.1949,3.292e-06
3.2943,3.808e-06
3.3943,3.7874e-06
3.4938,4.2643e-06
3.5936,4.2831e-06
3.6944,4.1174e-06
3.7943,4.5553e-06
3.8938,4.3029e-06
3.9938,4.3672e-06
4.0941,4.4372e-06
4.1941,4.4975e-06
4.2943,4.3268e-06
4.394,4.4155e-06
4.4941,4.358e-06
4.5941,4.4787e-06
4.694,4.4824e-06
4.794,4.5186e-06
4.8942,4.5132e-06
4.9941,4.5174e-06
