Photodiode Current (A),Temperature (C)
1.7501e-06,-265.61387665198237
1.7415e-06,-265.524449339207
1.7199e-06,-265.65484581497793
1.7186e-06,-265.5698237885462
1.7298e-06,-265.58700440528634
1.706e-06,-265.665859030837
1.7556e-06,-265.5693832599119
1.7346e-06,-265.69449339207046
1.7729e-06,-265.47995594713655
1.7185e-06,-265.68348017621145
1.8659e-06,-263.54118942731276
1.9363e-06,-264.4495594713656
1.9128e-06,-264.57290748898674
1.9616e-06,-264.39537444933916
1.9115e-06,-264.6284140969163
1.9728e-06,-264.4729074889868
1.8741e-06,-264.64647577092506
1.9324e-06,-264.4389867841409
1.9486e-06,-264.686563876652
1.8834e-06,-264.42224669603524
