Photodiode Current (A),Temperature (C)
1.7195e-06,-265.51696035242287
1.7347e-06,-265.33634361233476
1.7812e-06,-265.6861233480176
1.7612e-06,-265.4063876651982
1.7056e-06,-265.6288546255506
1.7566e-06,-265.76497797356825
1.7968e-06,-265.724449339207
1.7416e-06,-265.70374449339204
1.7175e-06,-265.5407488986784
1.7567e-06,-265.7429515418502
1.8787e-06,-264.7645374449339
1.827e-06,-264.7953744493392
1.8826e-06,-264.70947136563876
1.8478e-06,-264.9028634361233
1.9006e-06,-264.687885462555
1.853e-06,-264.83678414096914
1.9092e-06,-264.65969162995594
1.8696e-06,-264.9055066079295
1.888e-06,-264.6848017621145
1.8818e-06,-264.89361233480173
