Pixel 1,
V (V),J (A/cm^2)
-4.9994,-0.00058938
-4.9011,-0.00038934
-4.8026,-0.00024273
-4.7035,-0.00014348
-4.5978,-8.0408e-05
-4.501,-4.531e-05
-4.4026,-2.4381e-05
-4.3038,-1.2528e-05
-4.1992,-5.7968e-06
-4.1024,-2.2742e-06
-4.0045,-4.7736e-07
-3.9051,5.3594e-07
-3.8055,9.4501e-07
-3.7057,1.0437e-06
-3.6058,1.171e-06
-3.5059,1.2089e-06
-3.4056,1.2046e-06
-3.3056,1.2714e-06
-3.2057,1.3068e-06
-3.1059,1.3237e-06
-3.0057,1.314e-06
-2.9057,1.4012e-06
-2.8057,1.4225e-06
-2.7056,1.4311e-06
-2.6058,1.5358e-06
-2.5056,1.5916e-06
-2.4056,1.57e-06
-2.3058,1.6326e-06
-2.2059,1.661e-06
-2.1058,1.6335e-06
-2.0055,1.7024e-06
-1.9056,1.6918e-06
-1.8056,1.6876e-06
-1.7059,1.6972e-06
-1.6059,1.7288e-06
-1.5056,1.7941e-06
-1.4056,1.7581e-06
-1.3056,1.7781e-06
-1.2057,1.8414e-06
-1.1054,1.8198e-06
-1.0056,1.8393e-06
-0.90553,1.8716e-06
-0.80554,1.8382e-06
-0.7056,1.8674e-06
-0.60517,1.9252e-06
-0.50529,1.8994e-06
-0.4054,1.9286e-06
-0.30557,1.9777e-06
-0.20549,1.9472e-06
-0.10527,1.9763e-06
-0.0052607,2.0311e-06
0.094671,2.0331e-06
0.19459,2.0467e-06
0.29485,2.0987e-06
0.39461,2.0874e-06
0.49459,2.1149e-06
0.59454,2.1823e-06
0.69484,2.149e-06
0.79484,2.2006e-06
0.89484,2.2563e-06
0.99479,2.2446e-06
1.0945,2.2959e-06
1.1947,2.3384e-06
1.2947,2.4421e-06
1.3947,2.344e-06
1.4945,2.5297e-06
1.5948,2.6752e-06
1.6946,2.7259e-06
1.7941,2.8383e-06
1.8942,2.8822e-06
1.9946,2.8519e-06
2.0945,3.0049e-06
2.1947,2.8286e-06
2.2946,2.9956e-06
2.3946,2.9936e-06
2.4947,2.8091e-06
2.5943,3.3137e-06
2.6942,3.2782e-06
2.795,2.9083e-06
2.8949,3.0183e-06
2.9949,3.1612e-06
3.0945,3.3461e-06
3.1941,3.6465e-06
3.2945,3.6852e-06
3.3942,3.9186e-06
3.4943,3.9242e-06
3.5938,4.1757e-06
3.6943,4.1597e-06
3.7937,4.4396e-06
3.894,4.3131e-06
3.9939,4.3462e-06
4.0941,4.3884e-06
4.1942,4.3996e-06
4.2942,4.422e-06
4.394,4.0589e-06
4.494,4.5069e-06
4.5941,4.4429e-06
4.6939,4.5251e-06
4.794,4.495e-06
4.8942,4.3931e-06
4.9942,4.4866e-06
