Photodiode Current (A),Temperature (C)
1.7358e-06,-265.79140969162995
1.7629e-06,-265.7517621145374
1.6995e-06,-265.79889867841405
1.7386e-06,-265.33678414096914
1.6575e-06,-265.49449339207047
1.6485e-06,-265.1495594713656
1.7534e-06,-265.50506607929515
1.6832e-06,-265.4270925110132
1.7195e-06,-265.2385462555066
1.6589e-06,-265.31387665198235
1.847e-06,-264.7019823788546
1.9632e-06,-264.58436123348014
1.8872e-06,-264.6297356828194
1.9393e-06,-264.56233480176206
1.9352e-06,-264.64735682819384
1.9567e-06,-264.7618942731277
1.934e-06,-264.5579295154185
1.928e-06,-264.64691629955945
1.9465e-06,-264.64647577092506
1.9207e-06,-264.5530837004405
