Photodiode Current (A),Temperature (C)
-8.9245e-08,-272.7665330396475
-9.1862e-08,-272.7379427312775
-8.845e-08,-272.7364669603524
-8.7256e-08,-272.74707048458146
-9.5945e-08,-272.7469779735683
-8.979e-08,-272.7420925110132
-8.8429e-08,-272.73388546255507
-9.4835e-08,-272.7471629955947
-9.0522e-08,-272.7336079295154
-9.3454e-08,-272.75730837004403
-1.089e-07,-272.69669603524227
-1.093e-07,-272.7369251101321
-1.0656e-07,-272.75399118942727
-1.0591e-07,-272.7499295154185
-9.6887e-08,-272.76311894273124
-9.9776e-08,-272.76662555066076
-9.8269e-08,-272.7288105726872
-9.3747e-08,-272.7444889867841
-9.5107e-08,-272.74799559471364
-9.6301e-08,-272.7639515418502
