Photodiode Current (A),Temperature (C)
-8.0243e-08,-272.7847929515418
-7.9363e-08,-272.80167400881055
-8.198e-08,-272.7917136563876
-7.8547e-08,-272.7785242290749
-8.0494e-08,-272.7994581497797
-8.1436e-08,-272.7585110132158
-8.2399e-08,-272.7864537444934
-8.1499e-08,-272.81375330396475
-7.5092e-08,-272.8149559471365
-8.0494e-08,-272.80213215859027
-1.0945e-07,-272.74513656387666
-1.0445e-07,-272.7809207048458
-1.0237e-07,-272.79411013215855
-1.0401e-07,-272.78193392070483
-9.2051e-08,-272.77566519823785
-9.494e-08,-272.7702202643172
-9.5024e-08,-272.7800925110132
-8.7298e-08,-272.78747136563874
-8.9999e-08,-272.76847136563873
-8.5854e-08,-272.77068281938324
