Photodiode Current (A),Temperature (C)
7.4087e-07,-269.89704845814975
7.6055e-07,-269.7924669603524
7.4738e-07,-269.89859030837005
7.5107e-07,-269.7715418502202
7.5435e-07,-269.93290748898676
7.5289e-07,-269.77634361233476
7.5839e-07,-269.90903083700437
7.3553e-07,-269.78202643171807
7.6015e-07,-269.8977092511013
7.3001e-07,-269.8037004405286
7.7489e-07,-269.61409691629956
7.698e-07,-269.7125110132158
7.9285e-07,-269.654140969163
7.6589e-07,-269.6800440528634
7.9513e-07,-269.74286343612334
7.6633e-07,-269.58568281938324
8.0324e-07,-269.7394273127753
7.7303e-07,-269.6131718061674
7.8293e-07,-269.69497797356826
7.8862e-07,-269.6417621145374
