Photodiode Current (A),Temperature (C)
7.541e-07,-269.7233920704846
7.7889e-07,-269.8113656387665
7.5977e-07,-269.7000440528634
7.7458e-07,-269.8409691629956
7.6685e-07,-269.69590308370044
7.684e-07,-269.86105726872245
7.7014e-07,-269.7029955947136
7.613e-07,-269.85740088105723
7.8075e-07,-269.73242290748897
7.5151e-07,-269.8325991189427
7.7236e-07,-269.7242290748898
7.6917e-07,-269.5940088105727
7.8988e-07,-269.70863436123346
7.76e-07,-269.62533039647576
7.9302e-07,-269.73132158590306
7.676e-07,-269.69656387665196
8.015e-07,-269.5676211453744
7.6857e-07,-269.6959911894273
7.9742e-07,-269.55035242290745
7.7273e-07,-269.7023788546255
