Photodiode Current (A),Temperature (C)
2.3065e-06,-263.14559471365635
2.2891e-06,-263.0482378854625
2.2508e-06,-263.21872246696034
2.3006e-06,-262.9614537444934
2.2437e-06,-263.2482378854625
2.3032e-06,-262.9381057268722
2.2927e-06,-263.2107929515418
2.2421e-06,-262.94691629955946
2.3025e-06,-262.9689427312775
2.2466e-06,-263.1751101321586
2.2901e-06,-262.6861233480176
2.3333e-06,-262.89933920704846
2.2932e-06,-262.6372246696035
2.3632e-06,-262.87070484581494
2.3056e-06,-262.62665198237886
2.3707e-06,-262.83458149779733
2.3191e-06,-262.6737885462555
2.3767e-06,-262.7407488986784
2.3623e-06,-262.8204845814978
2.3267e-06,-262.5363436123348
