Photodiode Current (A),Temperature (C)
2.0459e-06,-264.02709251101317
2.104e-06,-263.86101321585903
2.0549e-06,-263.96057268722467
2.1184e-06,-263.9477973568282
2.0636e-06,-263.9504405286343
2.1108e-06,-264.0226872246696
2.0806e-06,-263.8711453744493
2.0936e-06,-264.12268722466956
2.0895e-06,-263.88524229074886
2.074e-06,-264.1425110132158
2.2633e-06,-263.0495594713656
2.2758e-06,-262.8861233480176
2.2728e-06,-262.92180616740086
2.3055e-06,-262.90154185022027
2.2645e-06,-262.76850220264316
2.321e-06,-262.976872246696
2.2622e-06,-262.81651982378855
2.329e-06,-262.865859030837
2.2675e-06,-262.85132158590307
2.3267e-06,-262.772026431718
