Pixel 1,
V (V),J (A/cm^2)
-5.0033,-1.519e-05
-4.9039,-5.8227e-06
-4.8032,-1.2834e-06
-4.705,5.6654e-07
-4.6057,1.2805e-06
-4.506,1.4866e-06
-4.4058,1.6086e-06
-4.3059,1.6078e-06
-4.2059,1.6021e-06
-4.1059,1.6893e-06
-4.006,1.6723e-06
-3.9057,1.6858e-06
-3.8058,1.735e-06
-3.7059,1.7094e-06
-3.6059,1.7419e-06
-3.5059,1.7734e-06
-3.4056,1.7557e-06
-3.3056,1.8004e-06
-3.2057,1.7984e-06
-3.1059,1.775e-06
-3.0058,1.8419e-06
-2.9056,1.8595e-06
-2.8056,1.8288e-06
-2.7056,1.8994e-06
-2.6056,1.8685e-06
-2.5054,1.8635e-06
-2.4055,1.8636e-06
-2.3057,1.9278e-06
-2.2057,1.9437e-06
-2.1056,1.9326e-06
-2.0053,1.9829e-06
-1.9054,1.9713e-06
-1.8055,1.9729e-06
-1.7058,2.032e-06
-1.6058,2.0185e-06
-1.5054,2.0606e-06
-1.4054,2.0242e-06
-1.3055,2.0596e-06
-1.2055,2.0824e-06
-1.1053,2.0557e-06
-1.0055,2.1038e-06
-0.90543,2.1368e-06
-0.80547,2.0986e-06
-0.70549,2.1567e-06
-0.60506,2.1706e-06
-0.50522,2.1495e-06
-0.40529,2.2055e-06
-0.30544,2.1892e-06
-0.20548,2.195e-06
-0.10523,2.3035e-06
-0.0051453,2.2513e-06
0.094742,2.22e-06
0.19467,2.2229e-06
0.295,2.2274e-06
0.3947,2.2632e-06
0.49478,2.3002e-06
0.59471,2.2755e-06
0.69493,2.2888e-06
0.79505,2.3287e-06
0.89503,2.3052e-06
0.9949,2.3711e-06
1.0947,2.3772e-06
1.195,2.3577e-06
1.2949,2.4168e-06
1.3949,2.4438e-06
1.4948,2.4182e-06
1.5951,2.4822e-06
1.695,2.5228e-06
1.7947,2.5101e-06
1.8946,2.5721e-06
1.995,2.5484e-06
2.0951,2.6315e-06
2.195,2.6473e-06
2.2951,2.7158e-06
2.3951,2.762e-06
2.495,2.7535e-06
2.5949,2.8489e-06
2.6948,2.9012e-06
2.795,2.9619e-06
2.8951,3.0027e-06
2.995,3.0956e-06
3.0947,3.1945e-06
3.1948,3.3454e-06
3.2948,3.3709e-06
3.3947,3.4997e-06
3.4945,3.6008e-06
3.5944,3.7174e-06
3.6948,3.8593e-06
3.7943,4.0485e-06
3.8941,4.1297e-06
3.994,4.358e-06
4.0941,4.4864e-06
4.1939,4.6827e-06
4.2937,4.9786e-06
4.3934,5.1056e-06
4.4932,5.4332e-06
4.593,5.6461e-06
4.6925,6.1449e-06
4.7922,6.3603e-06
4.8919,6.8892e-06
4.9916,7.3927e-06
