Pixel 1,
V (V),J (A/cm^2)
-5.0019,-2.9397e-05
-4.9031,-1.3326e-05
-4.7996,-4.7595e-06
-4.7032,-9.7499e-07
-4.6051,6.6684e-07
-4.5058,1.3099e-06
-4.4057,1.5458e-06
-4.3058,1.6178e-06
-4.2059,1.5998e-06
-4.1058,1.6553e-06
-4.0059,1.6847e-06
-3.9056,1.7188e-06
-3.8057,1.7281e-06
-3.7058,1.7235e-06
-3.6058,1.7144e-06
-3.5059,1.786e-06
-3.4055,1.7596e-06
-3.3056,1.7703e-06
-3.2056,1.8315e-06
-3.1059,1.796e-06
-3.0057,1.8034e-06
-2.9056,1.8161e-06
-2.8056,1.8727e-06
-2.7055,1.89e-06
-2.6057,1.8586e-06
-2.5054,1.9088e-06
-2.4055,1.94e-06
-2.3056,1.9464e-06
-2.2056,1.9443e-06
-2.1056,1.9391e-06
-2.0053,1.999e-06
-1.9054,1.983e-06
-1.8054,1.9819e-06
-1.7057,2.0403e-06
-1.6057,2.0034e-06
-1.5054,2.0329e-06
-1.4054,2.0745e-06
-1.3054,2.0412e-06
-1.2056,2.0959e-06
-1.1052,2.1076e-06
-1.0054,2.0817e-06
-0.90535,2.0918e-06
-0.80542,2.1053e-06
-0.70539,2.1052e-06
-0.60501,2.166e-06
-0.50515,2.1774e-06
-0.40518,2.1723e-06
-0.30537,2.1562e-06
-0.2054,2.1981e-06
-0.1051,2.1829e-06
-0.0050864,2.2015e-06
0.094765,2.2505e-06
0.19478,2.2119e-06
0.29497,2.2469e-06
0.39474,2.2826e-06
0.49483,2.2504e-06
0.5947,2.289e-06
0.69499,2.3179e-06
0.79505,2.291e-06
0.89502,2.342e-06
0.99498,2.3641e-06
1.0948,2.3454e-06
1.1949,2.4082e-06
1.2949,2.4419e-06
1.395,2.4375e-06
1.4949,2.4372e-06
1.5952,2.4699e-06
1.695,2.5368e-06
1.7948,2.5433e-06
1.8947,2.6073e-06
1.9951,2.5902e-06
2.095,2.6677e-06
2.195,2.7294e-06
2.2951,2.749e-06
2.395,2.8121e-06
2.495,2.8723e-06
2.5949,2.8845e-06
2.6947,2.9811e-06
2.795,3.0689e-06
2.895,3.1341e-06
2.9949,3.2201e-06
3.0947,3.3333e-06
3.1948,3.4153e-06
3.2947,3.5487e-06
3.3946,3.6104e-06
3.4943,3.7961e-06
3.5942,3.993e-06
3.6946,4.1333e-06
3.7942,4.1946e-06
3.8938,4.3991e-06
3.9937,4.7914e-06
4.0938,4.8669e-06
4.1935,5.1453e-06
4.2934,5.3325e-06
4.3931,5.5038e-06
4.4931,5.5356e-06
4.5925,6.1584e-06
4.6925,5.9979e-06
4.7918,6.7155e-06
4.8918,6.911e-06
4.9915,7.482e-06
