suffix,time
(1),00:00:00
(2),00:02:00
(3),00:06:00
(4),00:09:00
(5),00:11:00
(6),00:13:00
(7),00:15:00
(8),00:17:00
(9),00:19:00
(10),00:21:00
(11),00:23:00
(12),00:28:00
(13),00:34:00
(14),00:38:00
(15),00:44:00
(16),00:44:01
(17),00:49:00
(18),00:53:00
(19),00:58:00
(20),01:00:00
