Photodiode Current (A),Temperature (C)
-9.6364e-08,-272.73499118942726
-9.3977e-08,-272.7443964757709
-9.069e-08,-272.75869162995593
-8.8785e-08,-272.7795374449339
-8.9287e-08,-272.7841497797357
-9.3433e-08,-272.7387709251101
-9.1842e-08,-272.7364669603524
-8.9832e-08,-272.7625682819383
-8.755e-08,-272.7562026431718
-9.1862e-08,-272.7293656387665
-1.1671e-07,-272.7450440528634
-1.0455e-07,-272.7415374449339
-1.0426e-07,-272.7621057268722
-1.0047e-07,-272.77501762114537
-1.0097e-07,-272.7603524229075
-1.0254e-07,-272.76847136563873
-9.5066e-08,-272.75168281938323
-9.7159e-08,-272.7455066079295
-9.0229e-08,-272.7492863436123
-9.5861e-08,-272.7350837004405
