Pixel 1,
V (V),J (A/cm^2)
-4.9991,-6.7122e-05
-4.9005,-4.8715e-05
-4.8018,-3.526e-05
-4.7027,-2.5459e-05
-4.6034,-1.8369e-05
-4.5039,-1.3246e-05
-4.3955,-9.3125e-06
-4.2982,-6.7791e-06
-4.2,-4.931e-06
-4.1012,-3.5872e-06
-4.0023,-2.6149e-06
-3.9027,-1.9078e-06
-3.8033,-1.3971e-06
-3.7037,-1.0274e-06
-3.604,-7.5859e-07
-3.5042,-5.6356e-07
-3.404,-4.2139e-07
-3.3041,-3.1811e-07
-3.2043,-2.4277e-07
-3.1046,-1.8763e-07
-3.0044,-1.4708e-07
-2.9044,-1.1766e-07
-2.8043,-9.5482e-08
-2.7042,-7.935e-08
-2.6043,-6.7322e-08
-2.5042,-5.7941e-08
-2.4042,-5.0716e-08
-2.3043,-4.5014e-08
-2.2044,-4.0566e-08
-2.1042,-3.6749e-08
-2.004,-3.3385e-08
-1.904,-3.0401e-08
-1.8041,-2.7847e-08
-1.7044,-2.5403e-08
-1.6044,-2.3228e-08
-1.504,-2.0967e-08
-1.4041,-1.9125e-08
-1.3041,-1.7097e-08
-1.2041,-1.5322e-08
-1.1039,-1.3565e-08
-1.004,-1.1857e-08
-0.90395,-1.0198e-08
-0.80401,-8.5791e-09
-0.70404,-7.0188e-09
-0.60357,-5.2607e-09
-0.50371,-3.7726e-09
-0.40377,-2.2265e-09
-0.30394,-7.1191e-10
-0.20393,7.0139e-10
-0.10362,2.1507e-09
-0.0036159,3.748e-09
0.096244,5.2265e-09
0.19629,6.6009e-09
0.29652,8.0831e-09
0.39628,9.4731e-09
0.49636,1.1003e-08
0.59628,1.2437e-08
0.69654,1.3912e-08
0.79663,1.5299e-08
0.89664,1.685e-08
0.99658,1.8246e-08
1.0964,1.9725e-08
1.1966,2.1252e-08
1.2966,2.2646e-08
1.3966,2.4081e-08
1.4966,2.5683e-08
1.5969,2.723e-08
1.6968,2.8565e-08
1.7965,3.0194e-08
1.8965,3.1825e-08
1.9969,3.328e-08
2.0969,3.4939e-08
2.1969,3.6494e-08
2.2971,3.8057e-08
2.3971,3.9677e-08
2.497,4.1132e-08
2.597,4.2962e-08
2.6969,4.4595e-08
2.7973,4.6256e-08
2.8973,4.7768e-08
2.9973,4.9569e-08
3.0971,5.1285e-08
3.1974,5.2994e-08
3.2974,5.462e-08
3.3974,5.6486e-08
3.4974,5.8245e-08
3.5973,5.9955e-08
3.6979,6.1601e-08
3.7975,6.354e-08
3.8975,6.544e-08
3.9975,6.72e-08
4.0977,6.9106e-08
4.1978,7.0992e-08
4.2979,7.2989e-08
4.3977,7.467e-08
4.4978,7.6654e-08
4.5978,7.8611e-08
4.6976,8.078e-08
4.7977,8.269e-08
4.898,8.4598e-08
4.998,8.6859e-08
