Pixel 1,
V (V),J (A/cm^2)
-5.0023,-0.00028121
-4.9028,-0.00021038
-4.8034,-0.00015648
-4.7037,-0.00011569
-4.5974,-8.3409e-05
-4.4994,-6.1578e-05
-4.4006,-4.5277e-05
-4.3018,-3.3263e-05
-4.2026,-2.4405e-05
-4.1031,-1.7891e-05
-4.0036,-1.3132e-05
-3.8951,-9.3994e-06
-3.7976,-6.9576e-06
-3.6995,-5.1493e-06
-3.6008,-3.8104e-06
-3.5018,-2.8231e-06
-3.4022,-2.092e-06
-3.3028,-1.5545e-06
-3.2032,-1.1581e-06
-3.1038,-8.6569e-07
-3.0037,-6.4834e-07
-2.9039,-4.8808e-07
-2.804,-3.6998e-07
-2.7039,-2.8204e-07
-2.6041,-2.1708e-07
-2.5039,-1.6882e-07
-2.404,-1.3303e-07
-2.3042,-1.0614e-07
-2.2042,-8.6164e-08
-2.1041,-7.0934e-08
-2.0038,-5.9378e-08
-1.9039,-5.0675e-08
-1.8039,-4.3888e-08
-1.7042,-3.839e-08
-1.6042,-3.3663e-08
-1.5039,-2.9755e-08
-1.4039,-2.6464e-08
-1.3039,-2.3368e-08
-1.204,-2.0667e-08
-1.1037,-1.8183e-08
-1.0038,-1.5843e-08
-0.90376,-1.3682e-08
-0.80382,-1.1448e-08
-0.70383,-9.4713e-09
-0.60343,-7.5162e-09
-0.50352,-5.5047e-09
-0.40358,-3.7238e-09
-0.30375,-1.8745e-09
-0.20373,3.6012e-11
-0.10346,1.7233e-09
-0.0034574,3.584e-09
0.096442,5.2063e-09
0.19642,6.9947e-09
0.29669,8.7893e-09
0.39649,1.0451e-08
0.49651,1.2183e-08
0.59645,1.3861e-08
0.6967,1.5421e-08
0.79681,1.7281e-08
0.89681,1.8849e-08
0.99671,2.0588e-08
1.0965,2.2309e-08
1.1968,2.3969e-08
1.2967,2.5699e-08
1.3968,2.7437e-08
1.4968,2.9122e-08
1.5971,3.0841e-08
1.6969,3.2543e-08
1.7967,3.4301e-08
1.8967,3.6129e-08
1.997,3.7918e-08
2.0971,3.9724e-08
2.1971,4.145e-08
2.2972,4.316e-08
2.3972,4.506e-08
2.4972,4.6899e-08
2.5972,4.8646e-08
2.6971,5.0589e-08
2.7974,5.2399e-08
2.8975,5.4208e-08
2.9974,5.6243e-08
3.0973,5.8134e-08
3.1976,5.9967e-08
3.2976,6.1913e-08
3.3976,6.36e-08
3.4975,6.5686e-08
3.5975,6.7674e-08
3.698,6.9527e-08
3.7977,7.1613e-08
3.8977,7.3643e-08
3.9977,7.5881e-08
4.0979,7.7778e-08
4.198,7.9837e-08
4.298,8.1812e-08
4.3979,8.3895e-08
4.4979,8.6014e-08
4.598,8.8108e-08
4.6979,9.0502e-08
4.7979,9.2292e-08
4.8981,9.4659e-08
4.9981,9.6766e-08
