Photodiode Current (A),Temperature (C)
-8.9455e-08,-272.7468898678414
-8.6251e-08,-272.74080176211453
-9.1213e-08,-272.7687488986784
-8.9978e-08,-272.7743744493392
-8.7005e-08,-272.7612775330396
-8.8931e-08,-272.7589691629956
-8.4535e-08,-272.75841850220263
-9.1695e-08,-272.7670881057268
-8.7738e-08,-272.77418942731276
-8.9978e-08,-272.7831365638766
-1.0153e-07,-272.7894052863436
-1.0137e-07,-272.7744669603524
-1.0116e-07,-272.80029074889865
-9.4228e-08,-272.77723348017616
-9.1695e-08,-272.7740969162995
-9.6803e-08,-272.7775110132158
-8.9768e-08,-272.7463348017621
-9.0669e-08,-272.7923568281938
-8.8533e-08,-272.79669162995594
-8.8868e-08,-272.77612775330397
