Photodiode Current (A),Temperature (C)
-9.7787e-08,-272.77603524229073
-1.0187e-07,-272.7606343612335
-1.053e-07,-272.76598237885463
-9.8541e-08,-272.7713303964758
-9.4374e-08,-272.7882070484581
-9.674e-08,-272.79374449339207
-8.9915e-08,-272.77778854625547
-9.1611e-08,-272.7736387665198
-9.764e-08,-272.7734537444934
-9.9504e-08,-272.76856387665197
-7.7311e-08,-272.86042290748895
-7.997e-08,-272.84529955947136
-7.6202e-08,-272.8642070484581
-7.6181e-08,-272.8392114537445
-6.9251e-08,-272.8488942731277
-7.0737e-08,-272.86872687224667
-7.1742e-08,-272.8476960352423
-7.034e-08,-272.85111013215857
-7.0381e-08,-272.8395814977973
-6.9146e-08,-272.85433920704844
