Photodiode Current (A),Temperature (C)
1.8429e-06,-265.281718061674
1.7962e-06,-265.40903083700437
1.7922e-06,-265.18083700440525
1.7828e-06,-265.40814977973565
1.8179e-06,-265.2028634361233
1.8091e-06,-265.297577092511
1.7822e-06,-265.1751101321586
1.7522e-06,-265.15484581497793
1.7969e-06,-265.1235682819383
1.8178e-06,-265.21784140969163
1.9404e-06,-264.6398678414097
1.9401e-06,-264.365859030837
1.8559e-06,-264.5200440528634
1.939e-06,-264.5063876651982
1.9406e-06,-264.3825991189427
1.9336e-06,-264.40682819383255
1.9178e-06,-264.2614537444934
1.9704e-06,-264.56321585903083
1.9522e-06,-264.31475770925107
1.9596e-06,-264.53105726872246
