Photodiode Current (A),Temperature (C)
-1.5808e-07,-272.45303964757704
-1.5578e-07,-272.47859030837003
-1.567e-07,-272.4650220264317
-1.6164e-07,-272.4639207048458
-1.5645e-07,-272.4764757709251
-1.5492e-07,-272.48070484581496
-1.5911e-07,-272.46568281938323
-1.5452e-07,-272.45555066079294
-1.6154e-07,-272.44678414096916
-1.5241e-07,-272.47607929515414
-1.7716e-07,-272.43185022026427
-1.7381e-07,-272.4608810572687
-1.7069e-07,-272.446872246696
-1.7542e-07,-272.4526872246696
-1.6905e-07,-272.4396475770925
-1.6956e-07,-272.46814977973565
-1.6369e-07,-272.4757268722467
-1.6617e-07,-272.46753303964755
-1.5802e-07,-272.47951541850216
-1.6041e-07,-272.46837004405285
