Photodiode Current (A),Temperature (C)
-1.5968e-07,-272.45506607929514
-1.6045e-07,-272.43092511013214
-1.6537e-07,-272.4477092511013
-1.6261e-07,-272.43246696035243
-1.5614e-07,-272.4270484581498
-1.5936e-07,-272.4479735682819
-1.5555e-07,-272.4512775330396
-1.5999e-07,-272.4509251101321
-1.6185e-07,-272.4403964757709
-1.5827e-07,-272.4624669603524
-1.87e-07,-272.46982378854625
-1.7969e-07,-272.43246696035243
-1.7199e-07,-272.4240088105727
-1.7163e-07,-272.4654185022026
-1.6503e-07,-272.46837004405285
-1.6916e-07,-272.46889867841406
-1.6558e-07,-272.4545374449339
-1.6604e-07,-272.4614537444934
-1.6462e-07,-272.4526872246696
-1.6552e-07,-272.4650220264317
