Photodiode Current (A),Temperature (C)
-1.6468e-07,-272.3916299559471
-1.603e-07,-272.4384581497797
-1.5938e-07,-272.4628193832599
-1.5905e-07,-272.4609691629956
-1.6573e-07,-272.43211453744493
-1.6317e-07,-272.4174449339207
-1.6401e-07,-272.4355066079295
-1.6596e-07,-272.41788546255503
-1.6769e-07,-272.42013215859026
-1.625e-07,-272.42176211453744
-1.889e-07,-272.4313656387665
-1.8168e-07,-272.4607929515418
-1.8754e-07,-272.4619823788546
-1.8067e-07,-272.4606167400881
-1.7144e-07,-272.43193832599115
-1.7006e-07,-272.4594273127753
-1.6954e-07,-272.45462555066075
-1.6587e-07,-272.44251101321584
-1.6275e-07,-272.45775330396475
-1.585e-07,-272.44290748898675
