Photodiode Current (A),Temperature (C)
2.1365e-06,-263.85704845814973
2.1151e-06,-263.7940528634361
2.1604e-06,-263.90022026431717
2.1129e-06,-263.7623348017621
2.1633e-06,-263.9262114537445
2.0892e-06,-263.68348017621145
2.1522e-06,-263.98348017621146
2.0853e-06,-263.7442731277533
2.1552e-06,-264.0019823788546
2.1088e-06,-263.7698237885462
2.0554e-06,-263.8667400881057
2.0715e-06,-264.00022026431714
2.0796e-06,-263.76409691629954
2.0694e-06,-263.9755506607929
2.0953e-06,-263.7372246696035
2.0771e-06,-263.96850220264315
2.1155e-06,-263.7495594713656
2.0699e-06,-263.95352422907484
2.1269e-06,-263.91872246696033
2.0642e-06,-263.9350220264317
