Photodiode Current (A),Temperature (C)
1.6468e-06,-265.97775330396473
1.6513e-06,-265.9138766519824
1.6466e-06,-265.80859030837
1.647e-06,-265.56321585903083
1.6878e-06,-265.8777533039647
1.6658e-06,-265.69669603524227
1.6749e-06,-265.9416299559471
1.6396e-06,-265.69537444933917
1.7256e-06,-265.7702643171806
1.655e-06,-265.6636563876652
1.7649e-06,-265.3522026431718
1.7167e-06,-265.35132158590307
1.7468e-06,-265.20462555066075
1.7703e-06,-265.32180616740084
1.7416e-06,-265.18568281938326
1.7785e-06,-265.3645374449339
1.7638e-06,-265.1918502202643
1.7785e-06,-265.25044052863433
1.7575e-06,-265.34823788546254
1.803e-06,-265.31167400881054
