Pixel 1,
V (V),J (A/cm^2)
-4.9959,-0.00010337
-4.8996,-6.0839e-05
-4.802,-3.4458e-05
-4.7035,-1.8215e-05
-4.6044,-9.1692e-06
-4.501,-4.2452e-06
-4.4031,-1.734e-06
-4.3046,-4.2791e-07
-4.2052,1.8138e-07
-4.1053,4.2731e-07
-4.0055,5.0707e-07
-3.9052,5.6987e-07
-3.8053,5.9111e-07
-3.7054,5.7629e-07
-3.6054,5.8891e-07
-3.5054,6.1877e-07
-3.4052,6.0903e-07
-3.3051,6.2773e-07
-3.2052,6.3259e-07
-3.1054,6.4473e-07
-3.0052,6.5273e-07
-2.9052,6.5415e-07
-2.8051,6.8407e-07
-2.705,6.7675e-07
-2.6052,6.7349e-07
-2.5049,7.0338e-07
-2.405,6.792e-07
-2.3051,6.8976e-07
-2.2052,7.2161e-07
-2.105,7.1741e-07
-2.0047,7.1784e-07
-1.9048,7.4353e-07
-1.8048,7.5011e-07
-1.7051,7.3828e-07
-1.6051,7.365e-07
-1.5048,7.7344e-07
-1.4048,7.4652e-07
-1.3048,7.7886e-07
-1.2049,7.7007e-07
-1.1047,7.9289e-07
-1.0048,7.8185e-07
-0.90473,7.8383e-07
-0.80478,7.9051e-07
-0.7048,7.9833e-07
-0.60437,8.1034e-07
-0.50451,8.2762e-07
-0.40459,8.2466e-07
-0.30475,8.5501e-07
-0.20474,8.4184e-07
-0.10448,8.8049e-07
-0.0044206,8.8203e-07
0.09549,8.7323e-07
0.19542,9.1249e-07
0.29568,9.0332e-07
0.39545,9.356e-07
0.49548,9.3423e-07
0.59536,9.4502e-07
0.69571,9.6181e-07
0.79579,9.547e-07
0.89576,9.9292e-07
0.99569,9.8288e-07
1.0955,9.9319e-07
1.1957,1.0325e-06
1.2957,1.0474e-06
1.3957,1.0461e-06
1.4956,1.0883e-06
1.5959,1.0886e-06
1.6957,1.0972e-06
1.7955,1.119e-06
1.8955,1.1685e-06
1.9958,1.1745e-06
2.0959,1.1965e-06
2.1958,1.249e-06
2.2959,1.2557e-06
2.396,1.2931e-06
2.4959,1.3199e-06
2.5958,1.3781e-06
2.6957,1.4297e-06
2.796,1.4511e-06
2.896,1.5232e-06
2.996,1.5851e-06
3.0957,1.6171e-06
3.1959,1.6871e-06
3.2959,1.7547e-06
3.3958,1.8391e-06
3.4956,1.9207e-06
3.5955,2.0293e-06
3.696,2.1646e-06
3.7955,2.2744e-06
3.8954,2.3915e-06
3.9953,2.5706e-06
4.0954,2.6794e-06
4.1953,2.782e-06
4.2952,2.9977e-06
4.3949,3.0889e-06
4.4949,3.2118e-06
4.5949,3.2602e-06
4.6947,3.3462e-06
4.7947,3.3637e-06
4.8949,3.4037e-06
4.9948,3.4607e-06
