Pixel 1,
V (V),J (A/cm^2)
-4.9979,-8.2273e-05
-4.9009,-4.778e-05
-4.8029,-2.581e-05
-4.704,-1.3335e-05
-4.5991,-6.3832e-06
-4.5025,-2.8671e-06
-4.4041,-9.411e-07
-4.305,-7.5259e-08
-4.2054,3.6023e-07
-4.1055,5.078e-07
-4.0056,5.6331e-07
-3.9053,5.8164e-07
-3.8054,5.8855e-07
-3.7055,6.162e-07
-3.6055,6.2212e-07
-3.5055,6.0781e-07
-3.4052,6.4565e-07
-3.3052,6.545e-07
-3.2053,6.3364e-07
-3.1055,6.4326e-07
-3.0053,6.481e-07
-2.9052,6.5508e-07
-2.8053,6.8047e-07
-2.7051,6.6541e-07
-2.6052,6.7544e-07
-2.505,7.0776e-07
-2.405,7.0744e-07
-2.3052,7.0006e-07
-2.2052,7.2713e-07
-2.1051,7.282e-07
-2.0048,7.104e-07
-1.9049,7.2276e-07
-1.8049,7.4807e-07
-1.7052,7.4716e-07
-1.6053,7.6668e-07
-1.5049,7.4954e-07
-1.4049,7.5604e-07
-1.3049,7.7809e-07
-1.2049,7.6445e-07
-1.1047,7.7606e-07
-1.0049,8.0104e-07
-0.90476,8.0822e-07
-0.80481,8.074e-07
-0.70484,8.0472e-07
-0.6044,8.2076e-07
-0.50454,8.5103e-07
-0.4046,8.3994e-07
-0.30475,8.3905e-07
-0.20478,8.7114e-07
-0.10448,8.6675e-07
-0.0044688,8.8813e-07
0.095378,8.79e-07
0.1954,9.0675e-07
0.29563,8.9256e-07
0.39539,9.3528e-07
0.49546,9.4641e-07
0.59538,9.441e-07
0.69565,9.4546e-07
0.79572,9.7061e-07
0.89574,9.6468e-07
0.99565,9.7422e-07
1.0954,9.9033e-07
1.1957,1.0216e-06
1.2956,1.0262e-06
1.3957,1.0323e-06
1.4956,1.0783e-06
1.5959,1.0896e-06
1.6957,1.1041e-06
1.7954,1.1241e-06
1.8955,1.1542e-06
1.9958,1.1652e-06
2.0958,1.1755e-06
2.1958,1.2047e-06
2.2959,1.2645e-06
2.3959,1.2808e-06
2.4958,1.3265e-06
2.5958,1.3391e-06
2.6957,1.4084e-06
2.7959,1.4506e-06
2.896,1.5002e-06
2.9959,1.579e-06
3.0957,1.6125e-06
3.1959,1.7147e-06
3.2958,1.7816e-06
3.3957,1.8805e-06
3.4956,1.927e-06
3.5955,2.0681e-06
3.6959,2.1734e-06
3.7954,2.3078e-06
3.8952,2.44e-06
3.9951,2.6181e-06
4.0952,2.7849e-06
4.1951,2.9342e-06
4.295,3.0642e-06
4.3948,3.2061e-06
4.4948,3.278e-06
4.5948,3.2993e-06
4.6946,3.3789e-06
4.7946,3.365e-06
4.8948,3.4252e-06
4.9948,3.421e-06
