Pixel 1,
V (V),J (A/cm^2)
-4.9979,-8.4952e-06
-4.902,-4.1084e-06
-4.8045,-1.5968e-06
-4.7056,-4.4209e-07
-4.6063,1.151e-07
-4.5065,3.4487e-07
-4.4063,4.1395e-07
-4.3064,4.4655e-07
-4.2064,4.7327e-07
-4.1063,4.7613e-07
-4.0065,4.7929e-07
-3.9061,5.0939e-07
-3.8062,5.0011e-07
-3.7063,5.1695e-07
-3.6063,5.0946e-07
-3.5063,5.342e-07
-3.406,5.3477e-07
-3.3059,5.2911e-07
-3.2061,5.3972e-07
-3.1063,5.5415e-07
-3.0061,5.5755e-07
-2.906,5.4931e-07
-2.806,5.5895e-07
-2.7059,5.6084e-07
-2.606,5.7538e-07
-2.5057,5.7309e-07
-2.4058,5.852e-07
-2.3059,5.9126e-07
-2.206,5.9601e-07
-2.1058,6.2118e-07
-2.0056,6.1173e-07
-1.9056,6.0124e-07
-1.8057,6.21e-07
-1.706,6.4686e-07
-1.606,6.4627e-07
-1.5056,6.3495e-07
-1.4056,6.5078e-07
-1.3056,6.5943e-07
-1.2057,6.7881e-07
-1.1055,6.7421e-07
-1.0056,6.8235e-07
-0.90552,6.7936e-07
-0.80563,7.0335e-07
-0.7056,7.1893e-07
-0.60516,7.2021e-07
-0.5053,7.1612e-07
-0.40542,7.3624e-07
-0.30555,7.5441e-07
-0.20554,7.5245e-07
-0.10527,7.5716e-07
-0.0052378,7.6591e-07
0.094645,7.8891e-07
0.19464,7.9668e-07
0.29484,8.1512e-07
0.39462,8.1947e-07
0.49467,8.1853e-07
0.59459,8.4423e-07
0.69483,8.6238e-07
0.79491,8.6051e-07
0.89489,8.8109e-07
0.99486,8.9859e-07
1.0946,9.2039e-07
1.1949,9.3875e-07
1.2948,9.4491e-07
1.3948,9.6871e-07
1.4948,9.5993e-07
1.5952,9.9111e-07
1.695,1.0067e-06
1.7947,1.041e-06
1.8947,1.0557e-06
1.995,1.0788e-06
2.095,1.1178e-06
2.195,1.129e-06
2.2952,1.1675e-06
2.3951,1.1905e-06
2.4951,1.2416e-06
2.595,1.2945e-06
2.6948,1.3681e-06
2.7951,1.4301e-06
2.8951,1.4963e-06
2.9951,1.5503e-06
3.0948,1.6015e-06
3.195,1.6933e-06
3.295,1.6839e-06
3.395,1.7885e-06
3.4948,1.8903e-06
3.5947,1.9568e-06
3.6953,1.9571e-06
3.7948,2.0512e-06
3.8948,2.0369e-06
3.9948,2.1403e-06
4.0947,2.2843e-06
4.1948,2.3994e-06
4.2947,2.5189e-06
4.3946,2.5746e-06
4.4946,2.5832e-06
4.5946,2.6665e-06
4.6944,2.6665e-06
4.7944,2.6794e-06
4.8946,2.7749e-06
4.9946,2.7947e-06
