Photodiode Current (A),Temperature (C)
1.2267e-06,-267.6680616740088
1.1913e-06,-267.8425110132158
1.226e-06,-267.6839207048458
1.1913e-06,-267.83766519823786
1.2213e-06,-267.75352422907486
1.1998e-06,-267.86189427312775
1.218e-06,-267.6997797356828
1.2135e-06,-267.9121145374449
1.218e-06,-267.75352422907486
1.2318e-06,-267.9279735682819
1.2384e-06,-267.71740088105724
1.2018e-06,-267.7632158590308
1.2467e-06,-267.74030837004403
1.2131e-06,-267.74383259911895
1.2397e-06,-267.772026431718
1.2098e-06,-267.6997797356828
1.2424e-06,-267.792731277533
1.2197e-06,-267.6737885462555
1.2275e-06,-267.7803964757709
1.2326e-06,-267.64339207048454
