Photodiode Current (A),Temperature (C)
5.5244e-07,-270.7351982378854
5.6709e-07,-270.72035242290747
5.408e-07,-270.7599118942731
5.6466e-07,-270.6680616740088
5.5444e-07,-270.71819383259907
5.6029e-07,-270.6916299559471
5.4209e-07,-270.7010572687224
5.5197e-07,-270.7041850220264
5.5551e-07,-270.74255506607926
5.5208e-07,-270.70973568281937
5.2987e-07,-270.57850220264316
5.5786e-07,-270.70528634361233
5.5828e-07,-270.5733039647577
5.6652e-07,-270.6400881057269
5.5673e-07,-270.6119823788546
5.692e-07,-270.6270925110132
5.6573e-07,-270.6057709251101
5.6761e-07,-270.61519823788547
5.5974e-07,-270.6072687224669
5.6058e-07,-270.6322466960352
