Photodiode Current (A),Temperature (C)
1.0564e-06,-268.3191629955947
1.0921e-06,-268.34867841409687
1.0732e-06,-268.31299559471364
1.0976e-06,-268.3795154185022
1.0796e-06,-268.26541850220264
1.0904e-06,-268.43193832599115
1.0888e-06,-268.24030837004403
1.087e-06,-268.39537444933916
1.1031e-06,-268.2407488986784
1.0751e-06,-268.3662995594713
1.1081e-06,-268.2248898678414
1.1374e-06,-268.06541850220265
1.1166e-06,-268.16718061674004
1.1492e-06,-268.0447136563876
1.1173e-06,-268.12180616740085
1.1539e-06,-268.0407488986784
1.1234e-06,-268.0830396475771
1.1604e-06,-268.0623348017621
1.1254e-06,-268.07202643171803
1.1427e-06,-268.10859030837
