Photodiode Current (A),Temperature (C)
9.4327e-07,-268.9725110132158
9.3364e-07,-268.91889867841405
9.5767e-07,-268.9365198237885
9.3018e-07,-268.9726872246696
9.669e-07,-268.9412334801762
9.3429e-07,-269.0267400881057
9.6027e-07,-268.92876651982374
9.3418e-07,-269.0369603524229
9.6764e-07,-268.89585903083696
9.4231e-07,-269.04876651982374
1.078e-06,-268.30154185022025
1.0563e-06,-268.17026431718057
1.1007e-06,-268.2693832599119
1.0711e-06,-268.1372246696035
1.1015e-06,-268.28656387665194
1.0881e-06,-268.065859030837
1.0934e-06,-268.2469162995595
1.1014e-06,-268.09669603524225
1.0965e-06,-268.2262114537445
1.1098e-06,-268.0579295154185
