Photodiode Current (A),Temperature (C)
1.7547e-06,-265.7442731277533
1.7241e-06,-265.5103524229075
1.7465e-06,-265.6773127753304
1.7013e-06,-265.57599118942727
1.717e-06,-265.8200440528634
1.7023e-06,-265.0883259911894
1.7211e-06,-265.3200440528634
1.6943e-06,-265.45660792951537
1.7021e-06,-265.25264317180614
1.7262e-06,-265.3892070484581
1.713e-06,-265.1861233480176
1.6711e-06,-265.23898678414093
1.7717e-06,-265.10814977973564
1.8096e-06,-265.25132158590304
1.7864e-06,-265.08876651982376
1.7929e-06,-265.3297356828194
1.7955e-06,-265.04251101321586
1.8031e-06,-265.26585903083696
1.8099e-06,-265.04251101321586
1.7942e-06,-265.24911894273123
