Photodiode Current (A),Temperature (C)
1.6529e-06,-265.6416299559471
1.652e-06,-265.49449339207047
1.6408e-06,-265.5944933920705
1.7768e-06,-265.5433920704846
1.7095e-06,-265.7394273127753
1.6924e-06,-265.3574889867841
1.7693e-06,-265.613436123348
1.7388e-06,-265.4147577092511
1.6522e-06,-265.5094713656387
1.6795e-06,-265.5156387665198
1.9248e-06,-264.70374449339204
1.8922e-06,-264.52665198237884
1.9293e-06,-264.65748898678413
1.9194e-06,-264.56277533039645
1.9815e-06,-264.59757709251096
1.9695e-06,-264.58700440528634
1.9299e-06,-264.4596916299559
1.9537e-06,-264.6257709251101
1.9568e-06,-264.53105726872246
1.9708e-06,-264.60903083700435
