Photodiode Current (A),Temperature (C)
1.7581e-06,-265.0922907488987
1.8108e-06,-265.15881057268723
1.6786e-06,-265.1381057268722
1.7778e-06,-265.14779735682816
1.7226e-06,-264.9724669603524
1.7512e-06,-265.1314977973568
1.7568e-06,-265.04471365638767
1.9669e-06,-265.2041850220264
1.8385e-06,-264.9883259911894
1.8092e-06,-265.10154185022026
2.0395e-06,-264.07555066079294
1.9857e-06,-264.2460352422907
2.0556e-06,-264.0588105726872
1.9906e-06,-264.2931718061674
2.055e-06,-264.01167400881053
2.021e-06,-264.2103524229075
2.0496e-06,-263.9359030837004
2.0517e-06,-264.1530837004405
2.0345e-06,-264.00286343612333
2.0448e-06,-264.0583700440528
