Pixel 1,
V (V),J (A/cm^2)
-4.9969,-9.1332e-05
-4.8988,-6.6752e-05
-4.8005,-4.8608e-05
-4.7017,-3.527e-05
-4.6028,-2.5565e-05
-4.5033,-1.85e-05
-4.4035,-1.3377e-05
-4.2954,-9.4453e-06
-4.1979,-6.8983e-06
-4.0997,-5.0353e-06
-4.0012,-3.6778e-06
-3.9019,-2.6861e-06
-3.8026,-1.9683e-06
-3.7033,-1.4466e-06
-3.6036,-1.0661e-06
-3.5039,-7.8952e-07
-3.4038,-5.8703e-07
-3.3039,-4.4019e-07
-3.2041,-3.3305e-07
-3.1044,-2.5454e-07
-3.0042,-1.9674e-07
-2.9042,-1.5443e-07
-2.8042,-1.2325e-07
-2.7041,-1.0024e-07
-2.6043,-8.3146e-08
-2.504,-7.0124e-08
-2.4041,-6.0325e-08
-2.3042,-5.2896e-08
-2.2042,-4.6976e-08
-2.1041,-4.1998e-08
-2.0039,-3.8126e-08
-1.9039,-3.4469e-08
-1.804,-3.152e-08
-1.7042,-2.8723e-08
-1.6043,-2.6412e-08
-1.5039,-2.4039e-08
-1.4039,-2.1985e-08
-1.3039,-1.9973e-08
-1.204,-1.8125e-08
-1.1037,-1.6306e-08
-1.0038,-1.4618e-08
-0.9038,-1.2766e-08
-0.80385,-1.1112e-08
-0.70384,-9.5257e-09
-0.60341,-7.8599e-09
-0.50355,-6.3784e-09
-0.40361,-4.7832e-09
-0.30376,-3.159e-09
-0.20376,-1.61e-09
-0.10347,1.4999e-11
-0.0034696,1.4904e-09
0.096456,3.0944e-09
0.19645,4.7413e-09
0.29669,6.1293e-09
0.39649,7.6987e-09
0.49653,9.251e-09
0.59644,1.0863e-08
0.69675,1.2364e-08
0.7968,1.3971e-08
0.89682,1.5542e-08
0.99677,1.7e-08
1.0966,1.863e-08
1.1968,2.0212e-08
1.2967,2.1865e-08
1.3968,2.3541e-08
1.4968,2.5124e-08
1.5971,2.6669e-08
1.6969,2.8212e-08
1.7967,3.0014e-08
1.8967,3.1799e-08
1.9971,3.3295e-08
2.0971,3.5069e-08
2.1971,3.6761e-08
2.2973,3.8368e-08
2.3973,4.0095e-08
2.4972,4.1497e-08
2.5972,4.292e-08
2.6971,4.4937e-08
2.7975,4.6964e-08
2.8975,4.8689e-08
2.9975,5.0501e-08
3.0974,5.2622e-08
3.1976,5.4379e-08
3.2976,5.5984e-08
3.3977,5.8047e-08
3.4976,5.9929e-08
3.5976,6.1856e-08
3.6981,6.3797e-08
3.7977,6.5699e-08
3.8977,6.9059e-08
3.9978,7.092e-08
4.0979,7.3083e-08
4.198,7.4957e-08
4.2981,7.6842e-08
4.398,7.9172e-08
4.498,8.0976e-08
4.5981,8.3072e-08
4.6979,8.502e-08
4.798,8.6923e-08
4.8982,8.9202e-08
4.9982,9.1166e-08
